Timestamp,wind_speed (m s-1),wind_dir (deg),(z-d)/L (-),Fc (µmol m-2 s-1),FcEP (µmol m-2 s-1),FCcorL (µmol m-2 s-1),FCcorG (µmol m-2 s-1),CF_L (-),CF_G (-)
2024-05-01 00:30:00,1.41722,270.95,0.0582604,4.516,5.3926,4.99222497489137,4.873503862918271,1.105452828806769,1.079163831469945
2024-05-01 01:00:00,1.3239,346.748,0.0367806,4.30179,5.06632,4.755425924432671,4.642336178579094,1.105452828806769,1.079163831469945
2024-05-01 01:30:00,1.7492,250.124,0.0137757,2.26235,2.64688,2.5351914653386975,2.4671289001490866,1.1206009084972253,1.090516012177199
2024-05-01 02:00:00,1.72765,263.44,0.0423141,3.56838,4.24674,3.9987298698633285,3.8913755275328734,1.1206009084972253,1.090516012177199
2024-05-01 02:30:00,0.678139,235.943,0.123014,1.86072,2.2716,2.045939049652656,1.9943359334474813,1.0995416019888302,1.0718087264325
2024-05-01 03:00:00,0.730263,355.474,0.297438,3.18979,4.20574,3.5073068066079505,3.418844757487124,1.0995416019888302,1.0718087264325
2024-05-01 03:30:00,0.412851,355.365,0.0891956,2.51586,3.02296,2.7662927347796185,2.6965207024824696,1.0995416019888302,1.0718087264325
2024-05-01 04:00:00,0.504019,128.459,0.0379444,1.47618,1.72324,1.6231213220238714,1.582182605785128,1.0995416019888302,1.0718087264325
2024-05-01 04:30:00,0.829326,185.443,0.289973,2.29897,3.03107,2.527813156724261,2.464056107806525,1.0995416019888302,1.0718087264325
2024-05-01 05:00:00,0.633542,174.986,0.114682,0.519016,0.631665,0.5706796840978348,0.5562858779580905,1.0995416019888302,1.0718087264325
2024-05-01 05:30:00,0.946241,80.629,0.329525,1.86972,2.51364,2.0558349240705556,2.003982211985374,1.0995416019888302,1.0718087264325
2024-05-01 06:00:00,0.915727,64.8504,0.647686,0.533815,0.799625,0.5869518002656674,0.572147575300565,1.0995416019888302,1.0718087264325
2024-05-01 06:30:00,1.16837,95.8719,0.0758469,-2.30167,-2.76319,-2.530781919049631,-2.4669499913678923,1.0995416019888302,1.0718087264325
2024-05-01 07:00:00,1.50264,105.306,0.0377163,-3.59592,-4.24893,-4.0189078958474145,-3.9099138888468077,1.117629951680631,1.0873194867646687
2024-05-01 07:30:00,1.49989,104.058,0.0184772,-6.89122,-8.04229,-7.701833875620597,-7.49295779358242,1.117629951680631,1.0873194867646687
2024-05-01 08:00:00,1.55126,91.9988,-0.0296249,-13.3124,-15.1573,-14.350745023267438,-14.114723843683409,1.0779983341296413,1.0602689104656868
2024-05-01 08:30:00,1.91346,74.9123,-0.0138969,-16.1722,-18.5008,-17.66060659525765,-17.329237267984006,1.0920348867351164,1.0715448280372495
2024-05-01 09:00:00,1.51075,60.9799,-0.0371555,-22.3958,-25.4872,-24.142635091500622,-23.74557046500743,1.0779983341296413,1.0602689104656868
2024-05-01 09:30:00,0.267148,91.7364,-1.19801,-15.7983,-18.0054,-16.781853416360924,-16.553314247597,1.0622569147541776,1.0477908539271314
2024-05-01 10:00:00,0.673029,350.615,-0.85149,-18.7774,-21.2447,-19.946422991105095,-19.674787980531317,1.0622569147541776,1.0477908539271314
2024-05-01 10:30:00,1.71807,4.57547,-0.101095,-24.6767,-28.1557,-26.60144149181692,-26.163937822888613,1.0779983341296413,1.0602689104656868
2024-05-01 11:00:00,2.2204,7.39081,-0.0616153,-30.1937,-34.6937,-33.046347972277204,-32.4060381193062,1.094478251167535,1.0732715142333071
2024-05-01 11:30:00,2.58734,17.6491,-0.0520767,-34.0399,-39.3308,-37.804439127843175,-37.01961439531944,1.110591956140975,1.0875359326942626
2024-05-01 12:00:00,2.48103,12.7481,-0.055647,-27.7201,-31.9765,-30.512751080817228,-29.917013321620388,1.1007446250488717,1.079253441424107
2024-05-01 12:30:00,2.44295,15.2931,-0.0988728,-31.772,-36.6293,-34.972858227052754,-34.29004034092673,1.1007446250488717,1.079253441424107
2024-05-01 13:00:00,2.48234,17.3291,-0.0623522,-32.3927,-37.3673,-35.656090415820586,-34.95993295201867,1.1007446250488717,1.079253441424107
