unstable
wd_mean (deg),wd_max (deg),unc_wdclass (deg),ws_mean (m s-1),ws_max (m s-1),CF_L (-),unc_L_tf (-),unc_L_sd (-),CF_G (-),unc_G_tf (-),unc_G_sd (-),unc_wsCFclass (m s-1),N (-)
75.7446093147208,179.18400000000003,45.92423404094255,0.6868210416666667,0.91835,1.0622569147541776,0.0026749120117295355,0.01504141806077424,1.0477908539271314,0.0022950680957383174,0.012794719975748268,0.3210534713199756,72.0
,,,1.116131506849315,1.32085,1.079509153849514,0.003641325962688846,0.017889156418584917,1.061980703044523,0.0029057376588150774,0.014550074170318962,0.22783593882605796,73.0
,,,1.5350847297297296,1.73763,1.0779983341296413,0.0048316877070917474,0.017535805964084175,1.0602689104656868,0.002257635519506751,0.014366445584977343,0.25093552263478536,74.0
,,,1.8609587499999998,1.98171,1.0920348867351164,0.005552331538718924,0.013433140297988038,1.0715448280372495,0.0026573634625401965,0.011899161461292622,0.14658315477604342,72.0
,,,2.12198690140845,2.25318,1.094478251167535,0.005443756252077048,0.013675744832308746,1.0732715142333071,0.0026641504598525767,0.011540531565674335,0.14233353105408708,71.0
,,,2.4147591780821913,2.58323,1.1007446250488717,0.005736870266729532,0.01230112749705913,1.079253441424107,0.0027986949114067183,0.01007362860429691,0.19825395395278023,73.0
,,,2.7970458108108107,3.12426,1.110591956140975,0.006479830294450206,0.014515445122916564,1.0875359326942626,0.003263280146959424,0.012239133455517694,0.309613933308625,74.0
,,,3.6822266666666668,5.19957,1.1298929875924706,0.007678030606734998,0.02400909568153567,1.101992476583202,0.004256262559100943,0.021784849232772935,1.0933927672199704,69.0


stable
wd_mean (deg),wd_max (deg),unc_wdclass (deg),ws_mean (m s-1),ws_max (m s-1),CF_L (-),unc_L_tf (-),unc_L_sd (-),CF_G (-),unc_G_tf (-),unc_G_sd (-),unc_wsCFclass (m s-1),N (-)
72.39037004264392,178.3,47.53551483998637,0.9838413725490196,1.19258,1.0995416019888302,0.00534419372070416,0.047185435266959196,1.0718087264325,0.0043535269064620685,0.031363913161280135,0.3724352225750007,51.0
,,,1.3116985454545456,1.42425,1.105452828806769,0.0068583670078414816,0.031237877993662923,1.079163831469945,0.003655106256530871,0.02588536791768772,0.12268513785261238,55.0
,,,1.508587454545454,1.61442,1.117629951680631,0.016389303787439413,0.024791788271317238,1.0873194867646687,0.019293060202281498,0.01981656772750343,0.11327440065678272,55.0
,,,1.719460588235294,1.82866,1.1206009084972253,0.00861517604926676,0.023094782015598326,1.090516012177199,0.0039672605749898615,0.019806681279342146,0.11361503748207227,51.0
,,,1.9543485185185188,2.09264,1.1253320154675421,0.011565329690266912,0.01999717698793377,1.0962520917658818,0.008096954610315565,0.016910927730162076,0.1639715250069815,54.0
,,,2.242728913043478,2.44731,1.118817426778811,0.04891939936615031,0.01775624478028252,1.0919380539358894,5.397500863507571,0.0141217377083657,0.20976427389407845,46.0
,,,2.735799565217391,2.9943,1.1284047770368248,0.12382138697852918,0.01880767559190019,1.0995741064497795,4.758392706865315,0.018038278443280233,0.2856864883134061,46.0
,,,3.652053333333334,5.17066,1.1403950610139177,0.008175598561730002,0.023141914250517284,1.1123089207796575,0.004477160104428446,0.01985407117842108,1.0710032973660206,54.0
