Timestamp,wind_speed (m s-1),wind_dir (deg),(z-d)/L (-),Fc (µmol m-2 s-1),FcEP (µmol m-2 s-1),FCcorL (µmol m-2 s-1),FCcorG (µmol m-2 s-1),CF_L (-),CF_G (-)
2024-05-01 00:30:00,1.41722,270.95,0.0582604,4.516,5.3926,4.99222497489137,0.14107025701938175,1.105452828806769,0.031237877993662923
2024-05-01 01:00:00,1.3239,346.748,0.0367806,4.30179,5.06632,4.755425924432671,0.13437879117435922,1.105452828806769,0.031237877993662923
2024-05-01 01:30:00,1.7492,250.124,0.0137757,2.26235,2.64688,2.5351914653386975,0.05224848009298887,1.1206009084972253,0.023094782015598326
2024-05-01 02:00:00,1.72765,263.44,0.0423141,3.56838,4.24674,3.9987298698633285,0.08241095824882075,1.1206009084972253,0.023094782015598326
2024-05-01 02:30:00,0.678139,235.943,0.123014,1.86072,2.2716,2.045939049652656,0.0877988831099363,1.0995416019888302,0.047185435266959196
2024-05-01 03:00:00,0.730263,355.474,0.297438,3.18979,4.20574,3.5073068066079505,0.15051162956019376,1.0995416019888302,0.047185435266959196
2024-05-01 03:30:00,0.412851,355.365,0.0891956,2.51586,3.02296,2.7662927347796185,0.11871194917073197,1.0995416019888302,0.047185435266959196
2024-05-01 04:00:00,0.504019,128.459,0.0379444,1.47618,1.72324,1.6231213220238714,0.06965419583237983,1.0995416019888302,0.047185435266959196
2024-05-01 04:30:00,0.829326,185.443,0.289973,2.29897,3.03107,2.527813156724261,0.10847790011568119,1.0995416019888302,0.047185435266959196
2024-05-01 05:00:00,0.633542,174.986,0.114682,0.519016,0.631665,0.5706796840978348,0.024489995870516094,1.0995416019888302,0.047185435266959196
2024-05-01 05:30:00,0.946241,80.629,0.329525,1.86972,2.51364,2.0558349240705556,0.08822355202733895,1.0995416019888302,0.047185435266959196
2024-05-01 06:00:00,0.915727,64.8504,0.647686,0.533815,0.799625,0.5869518002656674,0.025188293127031827,1.0995416019888302,0.047185435266959196
2024-05-01 06:30:00,1.16837,95.8719,0.0758469,-2.30167,-2.76319,-2.530781919049631,-0.10860530079090197,1.0995416019888302,0.047185435266959196
2024-05-01 07:00:00,1.50264,105.306,0.0377163,-3.59592,-4.24893,-4.0189078958474145,-0.08914928728059508,1.117629951680631,0.024791788271317238
