unstable
wd_mean (deg),wd_max (deg),unc_wdclass (deg),ws_mean (m s-1),ws_max (m s-1),CF_L (-),unc_L (-),CF_G (-),unc_G (-),unc_wsCFclass (m s-1)
75.7446093147208,179.18400000000003,45.92423404094255,0.6861527432432433,0.91835,1.0622569147541776,0.03252101893926535,1.0477908539271314,0.026707030063499008,0.31820883816161755
,,,1.1150477027027028,1.32085,1.079509153849514,0.036712743211682816,1.061980703044523,0.029792682261560812,0.2270179486758706
,,,1.5350847297297296,1.73763,1.0779983341296413,0.03464218859550795,1.0602689104656868,0.028243337160862907,0.25093552263478536
,,,1.862272972972973,1.98171,1.0920348867351164,0.030866660328812304,1.0715448280372495,0.025924349406632272,0.14543332170285744
,,,2.1222575675675674,2.25318,1.094478251167535,0.03322396729684031,1.0732715142333071,0.026777462390806802,0.14507708342054174
,,,2.415267972972973,2.58323,1.1007446250488717,0.025873183309028727,1.079253441424107,0.020775810194268055,0.19709409912176418
,,,2.7970458108108107,3.12426,1.110591956140975,0.029046997421397238,1.0875359326942626,0.024197981294751002,0.309613933308625
,,,3.7282227397260272,5.83392,1.1298929875924706,0.05804467227170113,1.101992476583202,0.05043855910475738,1.239790646405861


stable
wd_mean (deg),wd_max (deg),unc_wdclass (deg),ws_mean (m s-1),ws_max (m s-1),CF_L (-),unc_L (-),CF_G (-),unc_G (-),unc_wsCFclass (m s-1)
72.39037004264392,178.3,47.53551483998637,0.978773406779661,1.19258,1.0995416019888302,0.43691135612079,1.0718087264325,0.41479804720890184,0.37055548012920253
,,,1.3095401694915256,1.42425,1.105452828806769,0.16066093745238527,1.079163831469945,0.1399150121451608,0.12422742895430719
,,,1.5108059322033898,1.61442,1.117629951680631,1.0292203753530873,1.0873194867646687,1.6717187546272165,0.11558719446901068
,,,1.7190166101694917,1.83347,1.1206009084972253,0.1886702137556206,1.090516012177199,0.16617967934972705,0.11965045213957266
,,,1.9606094915254237,2.09264,1.1253320154675421,0.7187084252565751,1.0962520917658818,1.141376617820475,0.16657551666459858
,,,2.2359427586206895,2.44731,1.118817426778811,2.3401262110458334,1.0919380539358894,22.038004523280136,0.20243388833041176
,,,2.7295129310344826,2.9943,1.1284047770368248,3.2124609489010085,1.0995741064497795,27.57343379603841,0.2879168731788198
,,,3.657495517241379,5.17066,1.1403950610139177,0.08054649109868743,1.1123089207796575,0.0676493559758383,1.0843586940921055
