Nat. freq.,cosp(wt)_wd1_ws1,cosp(wx)_wd1_ws1,cosp(wt)_wd1_ws2,cosp(wx)_wd1_ws2,cosp(wt)_wd1_ws3,cosp(wx)_wd1_ws3,cosp(wt)_wd1_ws4,cosp(wx)_wd1_ws4,cosp(wt)_wd1_ws5,cosp(wx)_wd1_ws5
0.000610352,22.969516946436922,33.20936446646088,14.120171041328064,14.730732395677686,15.530342214410702,14.219814686170167,8.23868867712129,7.470760144692463,3.667226237892232,6.447670053510106
0.0012207,20.357797959162777,22.229534821209143,14.548907826964038,16.363471241739713,13.483084108161984,16.046391422442042,12.008327249051092,13.157421783266434,7.086352050394583,6.861489667813551
0.00183105,28.289264908340385,26.860406648507688,15.007266045665963,19.566086267669736,9.955365210534938,13.960618494170012,11.100581374643873,10.241301839165596,10.047306514704678,8.22291143287549
0.00244141,21.706515778791765,24.607291973866193,13.284679473132329,11.564253098960572,9.028027353643319,12.423869940935768,8.457431101784762,10.695980985373206,9.91929074796941,10.195765369704391
0.00305176,25.428059713220126,31.06088102302715,14.836263043019983,13.981380140066713,7.7587134691675175,8.807692026486356,8.588484244201162,8.918112584350233,7.396858093772118,10.66319956762655
0.00366211,21.998405717605426,24.97481166083214,12.998306290066836,15.635020620512037,11.710579871189923,13.154959819953525,5.949452288093476,6.230221512495528,8.097522674200576,11.00325108566737
0.00427246,20.44222637056091,21.59568304667179,8.421000602867942,11.61403134845031,10.169726281814226,12.864568351234809,6.6184692825288804,6.814113648811225,9.222453962168947,11.52046981691071
0.00518799,17.560770942439493,20.35807188011799,13.38060289445752,14.710583071831929,8.910732980161875,10.0550096231874,8.572379744290819,8.783121005999755,6.070905683928973,7.768717850426337
0.00640869,19.543806710107685,23.34438791963204,14.9635921758841,16.99171887604955,11.131352473165345,11.14429365309707,7.88927716376774,8.198916710162296,5.441324788750379,8.047599637822499
0.00793457,17.475294400011595,19.528870709649883,9.581983281177598,9.782860542012147,9.852429035746948,11.283774160099412,7.949336906148243,8.213033576226143,4.9293016062412125,7.052295931495553
0.00976562,16.311443626125804,18.031445192633274,11.347410012540593,12.843901242744103,9.146921920557359,9.465018889823005,8.302139333362007,8.940297121432126,6.106784238140197,6.886427888517747
0.0115967,14.826141443614707,15.263231835349712,11.38068799565106,12.217030662099276,9.123685329123802,9.987291278625243,8.384956217788968,9.690343290099051,5.598660940899854,6.322459559256799
