 normalised_and_exponentially_binned_(co)spectra
 -----------------------------------------------
natural_frequency_[Hz]_->_from_[1/_averaging_interval]_to_[acquisition_frequency_/_2]
normalized_frequency_[#]_->_natural_frequency_*_measuring_height_/_wind_speed
y-axis_->_natural_frequency_*_(co)spectrum_/_(co)variance
acquisition_frequency_[Hz]_=_ 20.000
measuring_height_(z-d)_[m]_=_  1.740
wind_speed_[m+1s-1]_=_  1.604
averaging_interval_[min]_=_     30
number_of_bins_=_  50
tapering_window_=_hamming
 #_freq,natural_frequency,normalized_frequency,f_nat*spec(u)/var(u),f_nat*spec(v)/var(v),f_nat*spec(w)/var(w),f_nat*spec(ts)/var(ts),f_nat*spec(co2)/var(co2),f_nat*spec(h2o)/var(h2o),f_nat*spec(ch4)/var(ch4),f_nat*spec(none)/var(none),f_nat*cospec(w_u)/cov(w_u),f_nat*cospec(w_v)/cov(w_v),f_nat*cospec(w_ts)/cov(w_ts),f_nat*cospec(w_co2)/cov(w_co2),f_nat*cospec(w_h2o)/cov(w_h2o),f_nat*cospec(w_ch4)/cov(w_ch4),f_nat*cospec(w_none)/cov(w_none)
1,0.610352E-03,0.662216E-03,0.144372,0.287497,0.158532E-02,0.251579E-01,0.631264,0.174804,-9999.0,-9999.0,0.199070E-01,0.517601,0.774647E-01,0.151096,0.681007E-01,-9999.0,-9999.0
0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
1,0.122070E-02,0.132443E-02,0.250294,0.309151,0.243783E-02,0.731241E-01,0.172809,0.104609,-9999.0,-9999.0,0.883815E-01,-1.09211,-0.127821,0.642389E-01,0.652869E-01,-9999.0,-9999.0
0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
1,0.183105E-02,0.198665E-02,0.772748E-01,0.109727,0.291569E-03,0.118613,0.611654E-01,0.212740,-9999.0,-9999.0,0.156464E-01,-0.356541,-0.102961,-0.131043E-01,-0.647928E-02,-9999.0,-9999.0
1,0.244141E-02,0.264886E-02,0.106553,0.951262E-01,0.619394E-02,0.107353,0.623428E-01,0.214389,-9999.0,-9999.0,0.103074,-0.186407,-0.258712,0.242112,0.159433,-9999.0,-9999.0
1,0.305176E-02,0.331108E-02,0.176307,0.148923E-01,0.404615E-01,0.330475,0.360018E-01,0.249738,-9999.0,-9999.0,0.338757,-0.241490,1.54442,0.562487,0.459032,-9999.0,-9999.0
1,0.366211E-02,0.397329E-02,0.128254,0.320307E-01,0.294374E-01,0.984227,0.108499,0.143858,-9999.0,-9999.0,0.238782,-1.83612,1.63378,0.828330,0.216835,-9999.0,-9999.0
1,0.427246E-02,0.463551E-02,0.114169,0.263319E-01,0.337892E-02,0.357899,0.314624E-01,0.434810E-01,-9999.0,-9999.0,0.780071E-01,-0.568160,-0.116578,0.131708,0.497715E-01,-9999.0,-9999.0
2,0.518799E-02,0.562883E-02,0.343739E-01,0.546961E-01,0.753877E-02,0.163338,0.157976E-01,0.545599E-01,-9999.0,-9999.0,-0.687599E-03,0.601203,0.754257E-01,0.959623E-01,-0.124392E-02,-9999.0,-9999.0
2,0.640869E-02,0.695327E-02,0.154714,0.512762E-02,0.249550E-01,0.903452E-01,0.158733E-01,0.859333E-01,-9999.0,-9999.0,0.158568,-0.134705E-01,-0.546486E-01,-0.296184E-01,0.159188,-9999.0,-9999.0
3,0.793457E-02,0.860880E-02,0.315355,0.278159E-01,0.181262E-01,0.398811,0.269303E-01,0.190205,-9999.0,-9999.0,0.246300,-1.02044,0.648355,0.271449,0.192100,-9999.0,-9999.0
3,0.976562E-02,0.105955E-01,0.128573,0.510492E-01,0.108845E-01,0.172650,0.197328E-01,0.943247E-01,-9999.0,-9999.0,-0.629959E-01,-1.03751,0.485757,0.889880E-01,-0.378330E-01,-9999.0,-9999.0
3,0.115967E-01,0.125821E-01,0.121951,0.110003,0.226578E-01,0.257008,0.319619E-01,0.602227E-01,-9999.0,-9999.0,0.111808E-01,-2.71475,0.421243,0.381760E-02,-0.936888E-01,-9999.0,-9999.0
5,0.140381E-01,0.152310E-01,0.139595,0.291645E-01,0.322970E-01,0.438889,0.149331E-01,0.347227E-01,-9999.0,-9999.0,0.123906,-1.03482,-1.23483,0.215020,0.357115E-01,-9999.0,-9999.0
5,0.170898E-01,0.185420E-01,0.998327E-01,0.207064E-01,0.112931E-01,0.173324,0.593680E-02,0.122530E-01,-9999.0,-9999.0,-0.233689E-01,-0.435692,0.163439,0.835377E-01,0.172753E-01,-9999.0,-9999.0
7,0.207520E-01,0.225153E-01,0.120224,0.793390E-01,0.767983E-01,0.171908,0.163567E-01,0.962885E-01,-9999.0,-9999.0,0.268450,-3.47356,0.522179,0.350806,0.167007,-9999.0,-9999.0
8,0.253296E-01,0.274820E-01,0.265227,0.650484E-01,0.641544E-01,0.383991E-01,0.904514E-02,0.636023E-01,-9999.0,-9999.0,0.322510,-0.132357,0.303357E-01,0.252546,0.131351,-9999.0,-9999.0
10,0.308228E-01,0.334419E-01,0.325866,0.559554E-01,0.946202E-01,0.811339E-01,0.154632E-01,0.862678E-01,-9999.0,-9999.0,0.545954,-2.07304,-0.393165,0.250578,0.281838,-9999.0,-9999.0
12,0.375366E-01,0.407263E-01,0.200280,0.320043E-01,0.550009E-01,0.150775,0.287150E-01,0.143136,-9999.0,-9999.0,0.215308,-0.296812,0.608459,0.124354,0.155047,-9999.0,-9999.0
15,0.457764E-01,0.496662E-01,0.982687E-01,0.657250E-01,0.694744E-01,0.716003E-01,0.335451E-01,0.126605,-9999.0,-9999.0,0.242720,-0.351509,-0.204400,0.301213,0.172421,-9999.0,-9999.0
18,0.558472E-01,0.605927E-01,0.115551,0.695175E-01,0.131293,0.513939E-01,0.120811E-01,0.843341E-01,-9999.0,-9999.0,0.355596,-0.756200,0.130522,0.394139,0.351771,-9999.0,-9999.0
22,0.680542E-01,0.738371E-01,0.144645,0.715479E-01,0.236918,0.489757E-01,0.230459E-01,0.116353,-9999.0,-9999.0,0.521498,-1.74955,0.320672E-01,0.727942,0.567770,-9999.0,-9999.0
26,0.827026E-01,0.897302E-01,0.237437,0.100368,0.182138,0.429765E-01,0.162568E-01,0.886591E-01,-9999.0,-9999.0,0.551831,-1.63743,-0.218490E-01,0.419911,0.322513,-9999.0,-9999.0
32,0.100403,0.108934,0.172142,0.122695,0.166048,0.438012E-01,0.205833E-01,0.555873E-01,-9999.0,-9999.0,0.372425,-1.68391,0.281823,0.280379,0.236416,-9999.0,-9999.0
39,0.122070,0.132443,0.187538,0.120522,0.222100,0.346940E-01,0.203384E-01,0.535246E-01,-9999.0,-9999.0,0.369013,-2.10524,0.491002,0.420593,0.170534,-9999.0,-9999.0
48,0.148621,0.161250,0.147249,0.953943E-01,0.228889,0.372738E-01,0.184518E-01,0.406078E-01,-9999.0,-9999.0,0.309892,-0.942041,0.924444E-01,0.451607,0.258243,-9999.0,-9999.0
58,0.180969,0.196347,0.130002,0.963102E-01,0.216417,0.301728E-01,0.261667E-01,0.416883E-01,-9999.0,-9999.0,0.277904,-0.621955,0.117298,0.504293,0.172867,-9999.0,-9999.0
70,0.220032,0.238729,0.131719,0.782478E-01,0.271450,0.197709E-01,0.176161E-01,0.369100E-01,-9999.0,-9999.0,0.325488,-1.70234,0.109345E-01,0.474732,0.217191,-9999.0,-9999.0
86,0.267639,0.290382,0.100860,0.836404E-01,0.271709,0.155884E-01,0.147872E-01,0.225010E-01,-9999.0,-9999.0,0.249670,-3.25303,0.212417,0.244880,0.119997,-9999.0,-9999.0
