 normalised_and_exponentially_binned_(co)spectra
 -----------------------------------------------
natural_frequency_[Hz]_->_from_[1/_averaging_interval]_to_[acquisition_frequency_/_2]
normalized_frequency_[#]_->_natural_frequency_*_measuring_height_/_wind_speed
y-axis_->_natural_frequency_*_(co)spectrum_/_(co)variance
acquisition_frequency_[Hz]_=_ 20.000
measuring_height_(z-d)_[m]_=_  1.740
wind_speed_[m+1s-1]_=_  1.008
averaging_interval_[min]_=_     30
number_of_bins_=_  50
tapering_window_=_hamming
 #_freq,natural_frequency,normalized_frequency,f_nat*spec(u)/var(u),f_nat*spec(v)/var(v),f_nat*spec(w)/var(w),f_nat*spec(ts)/var(ts),f_nat*spec(co2)/var(co2),f_nat*spec(h2o)/var(h2o),f_nat*spec(ch4)/var(ch4),f_nat*spec(none)/var(none),f_nat*cospec(w_u)/cov(w_u),f_nat*cospec(w_v)/cov(w_v),f_nat*cospec(w_ts)/cov(w_ts),f_nat*cospec(w_co2)/cov(w_co2),f_nat*cospec(w_h2o)/cov(w_h2o),f_nat*cospec(w_ch4)/cov(w_ch4),f_nat*cospec(w_none)/cov(w_none)
1,0.610352E-03,0.105342E-02,0.101690,0.249845,0.561453E-03,0.163009,0.312500,0.566880,-9999.0,-9999.0,-0.288887E-01,0.115949,-0.344527E-02,0.995985E-02,-0.286222E-01,-9999.0,-9999.0
0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
1,0.122070E-02,0.210684E-02,0.386756,0.331067,0.161262E-02,0.833103E-01,0.152947,0.385737,-9999.0,-9999.0,0.886301E-01,-0.235262,0.123373E-01,0.625458E-01,0.980067E-01,-9999.0,-9999.0
0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
1,0.183105E-02,0.316026E-02,0.304115,0.164656E-03,0.319517E-01,0.191464E-01,0.705700E-01,0.396759E-01,-9999.0,-9999.0,0.401867,0.683938E-04,0.651556E-01,0.199244,0.108583,-9999.0,-9999.0
1,0.244141E-02,0.421368E-02,0.175131,0.488776E-01,0.376611E-01,0.607071E-01,0.663035E-01,0.929144E-01,-9999.0,-9999.0,0.314168,0.377260,0.109120,0.237729,0.100438,-9999.0,-9999.0
1,0.305176E-02,0.526709E-02,0.210620,0.999774E-01,0.251581E-01,0.768810E-01,0.191092E-01,0.930477E-01,-9999.0,-9999.0,0.690955E-01,0.118985E-01,0.116336,0.978121E-01,0.325980,-9999.0,-9999.0
1,0.366211E-02,0.632051E-02,0.177464,0.298083E-01,0.895326E-02,0.136858E-01,0.812217E-02,0.172089E-01,-9999.0,-9999.0,0.104741,-0.180104,0.286649E-01,-0.396226E-01,0.522446E-01,-9999.0,-9999.0
