 normalised_and_exponentially_binned_(co)spectra
 -----------------------------------------------
natural_frequency_[Hz]_->_from_[1/_averaging_interval]_to_[acquisition_frequency_/_2]
normalized_frequency_[#]_->_natural_frequency_*_measuring_height_/_wind_speed
y-axis_->_natural_frequency_*_(co)spectrum_/_(co)variance
acquisition_frequency_[Hz]_=_ 20.000
measuring_height_(z-d)_[m]_=_  1.740
wind_speed_[m+1s-1]_=_  3.881
averaging_interval_[min]_=_     30
number_of_bins_=_  50
tapering_window_=_hamming
 #_freq,natural_frequency,normalized_frequency,f_nat*spec(u)/var(u),f_nat*spec(v)/var(v),f_nat*spec(w)/var(w),f_nat*spec(ts)/var(ts),f_nat*spec(co2)/var(co2),f_nat*spec(h2o)/var(h2o),f_nat*spec(ch4)/var(ch4),f_nat*spec(none)/var(none),f_nat*cospec(w_u)/cov(w_u),f_nat*cospec(w_v)/cov(w_v),f_nat*cospec(w_ts)/cov(w_ts),f_nat*cospec(w_co2)/cov(w_co2),f_nat*cospec(w_h2o)/cov(w_h2o),f_nat*cospec(w_ch4)/cov(w_ch4),f_nat*cospec(w_none)/cov(w_none)
1,0.610352E-03,0.273629E-03,0.342410E-01,0.384155E-02,0.115358E-03,0.547561,0.152577,0.669524E-01,-9999.0,-9999.0,0.542204E-02,-0.312892E-02,0.886198E-01,0.517752E-02,0.191182E-01,-9999.0,-9999.0
0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
1,0.122070E-02,0.547259E-03,0.877726E-01,0.255720E-01,0.955969E-03,0.659116,0.324729,0.572071,-9999.0,-9999.0,-0.531620E-02,-0.302611E-01,0.942698,0.345479E-01,0.120954,-9999.0,-9999.0
0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
1,0.183105E-02,0.820888E-03,0.155110,0.733567E-01,0.408565E-03,0.302806,0.321772,0.787493,-9999.0,-9999.0,0.196921E-01,-0.501050E-01,0.492469,0.415369E-01,0.196053,-9999.0,-9999.0
1,0.244141E-02,0.109452E-02,0.716980E-01,0.309944E-01,0.134404E-02,0.958769E-01,0.142035,0.261039,-9999.0,-9999.0,0.878805E-02,-0.479627E-01,0.535742,0.209102E-01,0.139128,-9999.0,-9999.0
1,0.305176E-02,0.136815E-02,0.959629E-01,0.165784E-02,0.257278E-02,0.121329,0.152811,0.392084,-9999.0,-9999.0,-0.292538E-01,0.158022E-01,-0.568584,-0.634547E-01,-0.327176,-9999.0,-9999.0
1,0.366211E-02,0.164178E-02,0.951975E-02,0.291003E-01,0.214002E-02,0.352153E-02,0.463008E-02,0.338696E-01,-9999.0,-9999.0,-0.492443E-02,-0.844640E-01,-0.129850,-0.285912E-02,-0.740576E-01,-9999.0,-9999.0
1,0.427246E-02,0.191541E-02,0.631138E-02,0.100021E-02,0.643875E-03,0.469285E-02,0.810153E-04,0.124629E-01,-9999.0,-9999.0,0.548065E-02,-0.832667E-02,-0.288564E-01,-0.485232E-03,-0.606520E-02,-9999.0,-9999.0
2,0.518799E-02,0.232585E-02,0.185059,0.129197,0.879250E-02,0.697099E-01,0.119092,0.362440,-9999.0,-9999.0,0.713321E-01,0.315749,-1.07465,-0.526384E-01,-0.437184,-9999.0,-9999.0
2,0.640869E-02,0.287311E-02,0.513445,0.823709E-01,0.849431E-02,0.102724,0.251619,0.563540,-9999.0,-9999.0,0.130199,0.213605,-0.256444,0.952355E-01,0.250471,-9999.0,-9999.0
3,0.793457E-02,0.355718E-02,0.342080,0.107414E-01,0.109894E-01,0.924659E-02,0.142551,0.347148,-9999.0,-9999.0,-0.112298,0.214765E-01,0.383002,-0.798131E-01,-0.302087,-9999.0,-9999.0
3,0.976562E-02,0.437807E-02,0.530705E-01,0.444256E-01,0.294504E-02,0.229231E-01,0.552734E-01,0.192839,-9999.0,-9999.0,0.207616E-01,0.413485E-01,-0.434414E-01,0.208072E-01,0.683620E-01,-9999.0,-9999.0
3,0.115967E-01,0.519896E-02,0.640773E-01,0.193474,0.639074E-02,0.770010E-02,0.107119,0.283603,-9999.0,-9999.0,-0.584020E-02,-0.899668E-01,-0.458134E-01,-0.266578E-01,-0.183431,-9999.0,-9999.0
5,0.140381E-01,0.629348E-02,0.149153,0.197113,0.296760E-01,0.219005E-01,0.796074E-01,0.130128,-9999.0,-9999.0,0.143576,0.762153E-01,-0.495421,0.588447E-01,0.181659,-9999.0,-9999.0
5,0.170898E-01,0.766162E-02,0.203174,0.171890,0.352295E-01,0.105175E-01,0.102791,0.162815,-9999.0,-9999.0,0.191101,0.284962,0.523644E-01,0.128936,0.433087,-9999.0,-9999.0
7,0.207520E-01,0.930340E-02,0.165190,0.160555,0.227491E-01,0.111799E-01,0.845139E-01,0.966119E-01,-9999.0,-9999.0,0.105451,0.153130,-0.252890,0.231908E-01,-0.172756,-9999.0,-9999.0
8,0.253296E-01,0.113556E-01,0.134362,0.241558,0.304450E-01,0.157997E-01,0.955119E-01,0.115949,-9999.0,-9999.0,0.132793,-0.118156,0.820443,0.168690,0.455194,-9999.0,-9999.0
10,0.308228E-01,0.138183E-01,0.261975,0.489227E-01,0.649205E-01,0.268292E-01,0.170496,0.139830,-9999.0,-9999.0,0.315717,0.253331,0.932013,0.257240,0.623218,-9999.0,-9999.0
12,0.375366E-01,0.168282E-01,0.104775,0.184394,0.577702E-01,0.809662E-02,0.557748E-01,0.395739E-01,-9999.0,-9999.0,0.115147,0.143450,-0.530004E-01,0.324500E-01,0.166762,-9999.0,-9999.0
15,0.457764E-01,0.205222E-01,0.207420,0.100012,0.128344,0.173599E-01,0.149428,0.881995E-01,-9999.0,-9999.0,0.301935,0.770631,0.537292,0.221433,0.519627,-9999.0,-9999.0
18,0.558472E-01,0.250371E-01,0.196622,0.167350,0.997692E-01,0.234953E-01,0.147073,0.701956E-01,-9999.0,-9999.0,0.283609,0.319352,1.04156,0.255422,0.469775,-9999.0,-9999.0
22,0.680542E-01,0.305097E-01,0.171421,0.217414,0.561378E-01,0.118430E-01,0.101295,0.345403E-01,-9999.0,-9999.0,0.174614,0.250441E-01,0.656077,0.188570,0.253297,-9999.0,-9999.0
