 normalised_and_exponentially_binned_(co)spectra
 -----------------------------------------------
natural_frequency_[Hz]_->_from_[1/_averaging_interval]_to_[acquisition_frequency_/_2]
normalized_frequency_[#]_->_natural_frequency_*_measuring_height_/_wind_speed
y-axis_->_natural_frequency_*_(co)spectrum_/_(co)variance
acquisition_frequency_[Hz]_=_ 20.000
measuring_height_(z-d)_[m]_=_  1.740
wind_speed_[m+1s-1]_=_  3.716
averaging_interval_[min]_=_     30
number_of_bins_=_  50
tapering_window_=_hamming
 #_freq,natural_frequency,normalized_frequency,f_nat*spec(u)/var(u),f_nat*spec(v)/var(v),f_nat*spec(w)/var(w),f_nat*spec(ts)/var(ts),f_nat*spec(co2)/var(co2),f_nat*spec(h2o)/var(h2o),f_nat*spec(ch4)/var(ch4),f_nat*spec(none)/var(none),f_nat*cospec(w_u)/cov(w_u),f_nat*cospec(w_v)/cov(w_v),f_nat*cospec(w_ts)/cov(w_ts),f_nat*cospec(w_co2)/cov(w_co2),f_nat*cospec(w_h2o)/cov(w_h2o),f_nat*cospec(w_ch4)/cov(w_ch4),f_nat*cospec(w_none)/cov(w_none)
1,0.610352E-03,0.285808E-03,0.536040E-01,0.846472E-02,0.552356E-03,0.297963,0.468915,0.142019,-9999.0,-9999.0,0.103554E-01,0.363606E-01,0.101436,-0.160484,-0.322546E-01,-9999.0,-9999.0
0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
1,0.122070E-02,0.571617E-03,0.890853E-01,0.152023E-01,0.394275E-03,0.378278E-01,0.246452E-01,0.312405,-9999.0,-9999.0,0.936042E-03,0.257605E-01,-0.266774E-01,0.257003E-01,0.502796E-01,-9999.0,-9999.0
0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
1,0.183105E-02,0.857425E-03,0.221423E-01,0.350904E-01,0.455284E-02,0.144043E-01,0.641156E-01,0.172570,-9999.0,-9999.0,0.270384E-01,0.984704E-01,-0.609575E-02,-0.204372,0.180034,-9999.0,-9999.0
1,0.244141E-02,0.114323E-02,0.299672E-01,0.927456E-01,0.187170E-02,0.146826E-01,0.963029E-01,0.101675,-9999.0,-9999.0,0.381722E-02,0.162427,0.202332E-01,-0.145398,0.800152E-01,-9999.0,-9999.0
1,0.305176E-02,0.142904E-02,0.347288E-01,0.681989E-01,0.185424E-02,0.303574E-02,0.104184,0.299502,-9999.0,-9999.0,-0.610773E-02,0.358787E-01,-0.176882E-01,-0.752988E-01,-0.197608,-9999.0,-9999.0
1,0.366211E-02,0.171485E-02,0.421762E-01,0.319272E-01,0.466734E-02,0.196355E-02,0.244517E-01,0.454778,-9999.0,-9999.0,-0.207740E-01,-0.161180,-0.171603E-01,-0.329006E-01,-0.353475,-9999.0,-9999.0
1,0.427246E-02,0.200066E-02,0.995507E-01,0.483372E-01,0.275236E-02,0.122725E-01,0.299855E-01,0.123135,-9999.0,-9999.0,-0.209008E-01,-0.143765,0.436919E-01,0.192139E-01,0.129812E-01,-9999.0,-9999.0
2,0.518799E-02,0.242937E-02,0.149528,0.882026E-01,0.124717E-02,0.524545E-02,0.692939E-01,0.431470,-9999.0,-9999.0,0.597470E-02,-0.109634,0.751869E-02,0.854976E-01,0.148050,-9999.0,-9999.0
2,0.640869E-02,0.300099E-02,0.805569E-01,0.111494,0.249924E-02,0.811009E-02,0.130928E-01,0.156619,-9999.0,-9999.0,0.164819E-01,0.513851E-01,0.277272E-01,0.802839E-02,0.802925E-01,-9999.0,-9999.0
3,0.793457E-02,0.371551E-02,0.214354,0.169348,0.931934E-02,0.142059E-01,0.748029E-02,0.337584,-9999.0,-9999.0,0.109892,0.411345,0.857696E-01,0.482242E-01,0.369851,-9999.0,-9999.0
3,0.976562E-02,0.457293E-02,0.302974E-01,0.990238E-01,0.528095E-02,0.726108E-02,0.354684E-01,0.215610,-9999.0,-9999.0,0.130881E-01,-0.221006,0.457249E-01,0.158045,0.247286,-9999.0,-9999.0
3,0.115967E-01,0.543036E-02,0.336919,0.318922E-01,0.288006E-01,0.952789E-02,0.876370E-01,0.611690,-9999.0,-9999.0,0.165457,-0.389846,0.338099E-01,0.511872,0.734211,-9999.0,-9999.0
5,0.140381E-01,0.657359E-02,0.245743,0.212811,0.108033E-01,0.134717E-01,0.707708E-01,0.209936,-9999.0,-9999.0,0.113012,0.292500,0.581173E-01,0.222473,0.207390,-9999.0,-9999.0
5,0.170898E-01,0.800263E-02,0.162595,0.861361E-01,0.405439E-01,0.829294E-02,0.219787E-01,0.175927,-9999.0,-9999.0,0.199620,0.598133,0.732224E-01,0.900952E-01,0.854556E-01,-9999.0,-9999.0
7,0.207520E-01,0.971748E-02,0.116560,0.460170E-01,0.314848E-01,0.143151E-01,0.493160E-01,0.243882,-9999.0,-9999.0,0.107524,0.286601,0.100798,0.204580,0.125730,-9999.0,-9999.0
8,0.253296E-01,0.118610E-01,0.155673,0.103111,0.427628E-01,0.368835E-02,0.284019E-01,0.830958E-01,-9999.0,-9999.0,0.282472E-01,0.189926E-01,-0.302632E-01,-0.221549E-01,-0.207418,-9999.0,-9999.0
10,0.308228E-01,0.144333E-01,0.133674,0.105813,0.297555E-01,0.828875E-02,0.540467E-01,0.149230,-9999.0,-9999.0,0.145712,-0.273457,0.904675E-01,0.381200,0.289741,-9999.0,-9999.0
12,0.375366E-01,0.175772E-01,0.156260,0.126855,0.697142E-01,0.602927E-02,0.129372E-01,0.602276E-01,-9999.0,-9999.0,0.204788,-0.509709,0.103365,0.283292,0.352409,-9999.0,-9999.0
15,0.457764E-01,0.214356E-01,0.151318,0.117307,0.819209E-01,0.870086E-02,0.356518E-01,0.914754E-01,-9999.0,-9999.0,0.223532,0.659810,0.160484,0.472942,0.368210,-9999.0,-9999.0
18,0.558472E-01,0.261515E-01,0.217564,0.123664,0.108939,0.714163E-02,0.223847E-01,0.613768E-01,-9999.0,-9999.0,0.321939,0.317663E-01,0.174705,0.397465,0.403399,-9999.0,-9999.0
22,0.680542E-01,0.318676E-01,0.212013,0.119064,0.730238E-01,0.103463E-01,0.303050E-01,0.869533E-01,-9999.0,-9999.0,0.214625,0.108518,0.108021,0.244802,0.173781,-9999.0,-9999.0
26,0.827026E-01,0.387270E-01,0.203641,0.838780E-01,0.871253E-01,0.998938E-02,0.525253E-01,0.840510E-01,-9999.0,-9999.0,0.260871,-0.120817,0.144031,0.500084,0.505851,-9999.0,-9999.0
32,0.100403,0.470155E-01,0.266953,0.106855,0.834885E-01,0.110172E-01,0.513406E-01,0.669766E-01,-9999.0,-9999.0,0.264803,0.130813,0.118249,0.395298,0.243012,-9999.0,-9999.0
39,0.122070,0.571617E-01,0.180531,0.156263,0.100468,0.837345E-02,0.323642E-01,0.409974E-01,-9999.0,-9999.0,0.223907,0.626736,0.980566E-01,0.257661,0.249101,-9999.0,-9999.0
