 normalised_and_exponentially_binned_(co)spectra
 -----------------------------------------------
natural_frequency_[Hz]_->_from_[1/_averaging_interval]_to_[acquisition_frequency_/_2]
normalized_frequency_[#]_->_natural_frequency_*_measuring_height_/_wind_speed
y-axis_->_natural_frequency_*_(co)spectrum_/_(co)variance
acquisition_frequency_[Hz]_=_ 20.000
measuring_height_(z-d)_[m]_=_  1.740
wind_speed_[m+1s-1]_=_  2.554
averaging_interval_[min]_=_     30
number_of_bins_=_  50
tapering_window_=_hamming
 #_freq,natural_frequency,normalized_frequency,f_nat*spec(u)/var(u),f_nat*spec(v)/var(v),f_nat*spec(w)/var(w),f_nat*spec(ts)/var(ts),f_nat*spec(co2)/var(co2),f_nat*spec(h2o)/var(h2o),f_nat*spec(ch4)/var(ch4),f_nat*spec(none)/var(none),f_nat*cospec(w_u)/cov(w_u),f_nat*cospec(w_v)/cov(w_v),f_nat*cospec(w_ts)/cov(w_ts),f_nat*cospec(w_co2)/cov(w_co2),f_nat*cospec(w_h2o)/cov(w_h2o),f_nat*cospec(w_ch4)/cov(w_ch4),f_nat*cospec(w_none)/cov(w_none)
1,0.610352E-03,0.415793E-03,0.543412E-02,0.886919E-02,0.237063E-03,0.378381,0.409412,0.195465E-01,-9999.0,-9999.0,-0.320628E-02,0.933204E-01,0.105346E-01,0.329892E-02,0.273681E-02,-9999.0,-9999.0
0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
1,0.122070E-02,0.831586E-03,0.105095,0.398058E-01,0.538798E-03,0.342510,0.434305,0.307296,-9999.0,-9999.0,0.228310E-01,-0.606400E-01,0.494711E-01,0.648090E-01,0.441690E-01,-9999.0,-9999.0
0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
1,0.183105E-02,0.124738E-02,0.898966E-01,0.201984,0.277065E-02,0.789117E-01,0.624947E-01,0.680437E-01,-9999.0,-9999.0,0.348979E-01,-1.61803,0.554478E-02,0.911528E-02,-0.193643E-01,-9999.0,-9999.0
1,0.244141E-02,0.166317E-02,0.492252,0.484496,0.120683E-01,0.163988,0.767719E-01,0.129167,-9999.0,-9999.0,0.219081,-5.04051,0.102548,0.114071,0.129567,-9999.0,-9999.0
1,0.305176E-02,0.207896E-02,0.223080,0.209476,0.149016E-01,0.151070,0.710412E-01,0.112523,-9999.0,-9999.0,0.166964,-3.82117,0.156188,0.136654,0.140488,-9999.0,-9999.0
1,0.366211E-02,0.249476E-02,0.284509,0.596766E-01,0.615691E-02,0.110556,0.860195E-01,0.107899,-9999.0,-9999.0,0.337662E-01,0.207564,0.641573E-01,0.944336E-01,0.830774E-01,-9999.0,-9999.0
1,0.427246E-02,0.291055E-02,0.116070,0.492681E-02,0.265994E-02,0.108775,0.561480E-01,0.952086E-01,-9999.0,-9999.0,0.245328E-01,0.227721E-01,0.555810E-01,0.516867E-01,0.566002E-01,-9999.0,-9999.0
2,0.518799E-02,0.353424E-02,0.266180,0.105659E-01,0.391172E-01,0.130435,0.129195,0.258400,-9999.0,-9999.0,0.271338,0.140639,0.254017,0.296569,0.368300,-9999.0,-9999.0
2,0.640869E-02,0.436582E-02,0.178661,0.894103E-01,0.359395E-01,0.766101E-01,0.106069,0.173580,-9999.0,-9999.0,0.186271,-1.57239,0.133781,0.639479E-01,0.169766,-9999.0,-9999.0
3,0.793457E-02,0.540531E-02,0.476662E-01,0.123732,0.257293E-01,0.521949E-01,0.325261E-01,0.680717E-01,-9999.0,-9999.0,0.787730E-01,-2.70462,0.865075E-01,0.306932E-01,0.420686E-01,-9999.0,-9999.0
3,0.976562E-02,0.665269E-02,0.512175E-01,0.170812,0.280315E-01,0.477866E-01,0.708951E-01,0.115498,-9999.0,-9999.0,0.104293,-2.67425,0.121909,0.179185,0.205170,-9999.0,-9999.0
3,0.115967E-01,0.790006E-02,0.265835,0.107136,0.363290E-01,0.155255,0.231808,0.361005,-9999.0,-9999.0,0.210857,-1.98542,0.166540,0.297982,0.354786,-9999.0,-9999.0
5,0.140381E-01,0.956323E-02,0.193499,0.225218,0.901879E-02,0.560333E-01,0.115503,0.165224,-9999.0,-9999.0,0.893795E-01,-0.944578,0.610338E-01,0.420141E-01,0.599730E-01,-9999.0,-9999.0
5,0.170898E-01,0.116422E-01,0.117801,0.273907,0.274203E-01,0.178617,0.165058,0.267791,-9999.0,-9999.0,0.812473E-01,3.99511,0.237415,0.234688,0.258768,-9999.0,-9999.0
7,0.207520E-01,0.141370E-01,0.121937,0.199047,0.323730E-01,0.242721,0.220221,0.367506,-9999.0,-9999.0,0.801168E-01,0.880406,0.871203E-01,0.500646E-01,0.891219E-01,-9999.0,-9999.0
8,0.253296E-01,0.172554E-01,0.776518E-01,0.227337,0.109378,0.111938,0.153560,0.295258,-9999.0,-9999.0,0.148611,-4.88687,-0.330425E-01,-0.777827E-01,-0.362794E-01,-9999.0,-9999.0
10,0.308228E-01,0.209975E-01,0.133396,0.256637,0.395894E-01,0.638893E-01,0.682794E-01,0.171109,-9999.0,-9999.0,0.425620E-01,1.28842,0.352437E-01,0.175539E-01,0.225889E-01,-9999.0,-9999.0
12,0.375366E-01,0.255713E-01,0.185050,0.186043,0.112069,0.148888,0.142829,0.234245,-9999.0,-9999.0,0.268189,4.00173,0.301722,0.262086,0.329729,-9999.0,-9999.0
15,0.457764E-01,0.311845E-01,0.191741,0.228955,0.699520E-01,0.164453,0.151022,0.302581,-9999.0,-9999.0,0.225364,-1.59790,0.230818,0.195955,0.245741,-9999.0,-9999.0
18,0.558472E-01,0.380450E-01,0.116105,0.300448,0.188522,0.913322E-01,0.114008,0.189690,-9999.0,-9999.0,0.351709,5.09295,0.211542,0.210253,0.286188,-9999.0,-9999.0
22,0.680542E-01,0.463609E-01,0.189642,0.239658,0.132580,0.124633,0.140839,0.206890,-9999.0,-9999.0,0.247445,0.107215,0.236408,0.170244,0.175994,-9999.0,-9999.0
26,0.827026E-01,0.563399E-01,0.123401,0.141582,0.178762,0.198048,0.147509,0.223698,-9999.0,-9999.0,0.275895,0.366870,0.248311,0.245971,0.249601,-9999.0,-9999.0
32,0.100403,0.683979E-01,0.185744,0.188336,0.308703,0.253665,0.168109,0.270719,-9999.0,-9999.0,0.479725,3.25681,0.663969,0.506333,0.595854,-9999.0,-9999.0
39,0.122070,0.831586E-01,0.129559,0.158626,0.255235,0.960643E-01,0.120021,0.176476,-9999.0,-9999.0,0.370814,3.79552,0.330389,0.395643,0.420508,-9999.0,-9999.0
48,0.148621,0.101246,0.145032,0.164108,0.218097,0.161244,0.103760,0.145700,-9999.0,-9999.0,0.306168,-1.80800,0.258494,0.223193,0.212566,-9999.0,-9999.0
58,0.180969,0.123283,0.109838,0.113759,0.229448,0.175985,0.114711,0.151438,-9999.0,-9999.0,0.234224,2.52012,0.324931,0.272336,0.293390,-9999.0,-9999.0
70,0.220032,0.149893,0.737006E-01,0.153364,0.205424,0.115843,0.809413E-01,0.104437,-9999.0,-9999.0,0.202800,2.95798,0.250377,0.242676,0.270786,-9999.0,-9999.0
86,0.267639,0.182325,0.992633E-01,0.892494E-01,0.148099,0.107388,0.698042E-01,0.772171E-01,-9999.0,-9999.0,0.109425,1.45312,0.183456,0.158059,0.157595,-9999.0,-9999.0
104,0.325623,0.221825,0.588255E-01,0.940573E-01,0.249181,0.137381,0.965456E-01,0.918415E-01,-9999.0,-9999.0,0.146621,0.385862,0.330648,0.296670,0.264553,-9999.0,-9999.0
127,0.396118,0.269850,0.771465E-01,0.921779E-01,0.248029,0.807346E-01,0.564933E-01,0.484520E-01,-9999.0,-9999.0,0.144344,-0.998081,0.251135,0.174753,0.158388,-9999.0,-9999.0
154,0.481873,0.328268,0.644150E-01,0.879158E-01,0.292896,0.109931,0.604838E-01,0.491425E-01,-9999.0,-9999.0,0.156514,-0.990306E-01,0.319710,0.270857,0.208531,-9999.0,-9999.0
188,0.586243,0.399369,0.516436E-01,0.916162E-01,0.256304,0.877670E-01,0.629280E-01,0.413332E-01,-9999.0,-9999.0,0.120461,0.226978,0.242374,0.188052,0.136870,-9999.0,-9999.0
228,0.713196,0.485854,0.446636E-01,0.899695E-01,0.244071,0.651727E-01,0.456970E-01,0.251336E-01,-9999.0,-9999.0,0.667629E-01,1.12350,0.180053,0.171623,0.109773,-9999.0,-9999.0
278,0.867615,0.591049,0.468025E-01,0.736321E-01,0.227167,0.844111E-01,0.471348E-01,0.212740E-01,-9999.0,-9999.0,0.101077,0.370523,0.203129,0.144305,0.770679E-01,-9999.0,-9999.0
337,1.05530,0.718906,0.467535E-01,0.699983E-01,0.209257,0.636141E-01,0.406543E-01,0.142161E-01,-9999.0,-9999.0,0.838361E-01,1.66544,0.135198,0.104531,0.493146E-01,-9999.0,-9999.0
411,1.28357,0.874412,0.374243E-01,0.703204E-01,0.225626,0.516552E-01,0.355449E-01,0.973462E-02,-9999.0,-9999.0,0.664921E-01,0.324718,0.148205,0.118062,0.370617E-01,-9999.0,-9999.0
500,1.56158,1.06381,0.320922E-01,0.677336E-01,0.224085,0.521832E-01,0.327243E-01,0.670360E-02,-9999.0,-9999.0,0.333130E-01,0.757247,0.125920,0.103580,0.224079E-01,-9999.0,-9999.0
608,1.89972,1.29416,0.275084E-01,0.624183E-01,0.188562,0.469489E-01,0.252201E-01,0.375910E-02,-9999.0,-9999.0,0.408821E-01,0.428491,0.109845,0.634936E-01,0.519368E-02,-9999.0,-9999.0
740,2.31110,1.57440,0.249471E-01,0.598065E-01,0.177275,0.379465E-01,0.211246E-01,0.234837E-02,-9999.0,-9999.0,0.342380E-01,0.341541,0.647102E-01,0.360054E-01,-0.195136E-02,-9999.0,-9999.0
899,2.81128,1.91514,0.219964E-01,0.488560E-01,0.155741,0.365779E-01,0.170841E-01,0.133896E-02,-9999.0,-9999.0,0.308587E-01,0.325259,0.680060E-01,0.349651E-01,-0.374277E-02,-9999.0,-9999.0
1095,3.41980,2.32969,0.198761E-01,0.460189E-01,0.148107,0.292060E-01,0.112456E-01,0.647993E-03,-9999.0,-9999.0,0.241373E-01,0.179823,0.522886E-01,0.181830E-01,-0.330956E-02,-9999.0,-9999.0
1331,4.16016,2.83404,0.173100E-01,0.357533E-01,0.128072,0.243959E-01,0.881332E-02,0.364410E-03,-9999.0,-9999.0,0.121173E-01,0.175755,0.398442E-01,0.175227E-01,-0.129121E-02,-9999.0,-9999.0
1620,5.06073,3.44755,0.147344E-01,0.346333E-01,0.106307,0.178292E-01,0.566271E-02,0.167615E-03,-9999.0,-9999.0,0.183770E-01,0.323910,0.362800E-01,0.433390E-02,0.390702E-03,-9999.0,-9999.0
1970,6.15631,4.19389,0.122823E-01,0.324810E-01,0.872225E-01,0.149212E-01,0.351469E-02,0.841195E-04,-9999.0,-9999.0,0.776213E-02,0.177892,0.277010E-01,0.548755E-02,0.393445E-03,-9999.0,-9999.0
2397,7.48901,5.10178,0.114256E-01,0.290393E-01,0.835403E-01,0.129966E-01,0.192591E-02,0.451558E-04,-9999.0,-9999.0,0.909823E-02,0.141688,0.249227E-01,0.260248E-02,-0.109510E-03,-9999.0,-9999.0
2916,9.11041,6.20633,0.115607E-01,0.314985E-01,0.870247E-01,0.115774E-01,0.119722E-02,0.394826E-04,-9999.0,-9999.0,0.130338E-01,0.933114E-01,0.249501E-01,-0.425288E-03,-0.735966E-04,-9999.0,-9999.0
