 normalised_and_exponentially_binned_(co)spectra
 -----------------------------------------------
natural_frequency_[Hz]_->_from_[1/_averaging_interval]_to_[acquisition_frequency_/_2]
normalized_frequency_[#]_->_natural_frequency_*_measuring_height_/_wind_speed
y-axis_->_natural_frequency_*_(co)spectrum_/_(co)variance
acquisition_frequency_[Hz]_=_ 20.000
measuring_height_(z-d)_[m]_=_  1.740
wind_speed_[m+1s-1]_=_  1.684
averaging_interval_[min]_=_     30
number_of_bins_=_  50
tapering_window_=_hamming
 #_freq,natural_frequency,normalized_frequency,f_nat*spec(u)/var(u),f_nat*spec(v)/var(v),f_nat*spec(w)/var(w),f_nat*spec(ts)/var(ts),f_nat*spec(co2)/var(co2),f_nat*spec(h2o)/var(h2o),f_nat*spec(ch4)/var(ch4),f_nat*spec(none)/var(none),f_nat*cospec(w_u)/cov(w_u),f_nat*cospec(w_v)/cov(w_v),f_nat*cospec(w_ts)/cov(w_ts),f_nat*cospec(w_co2)/cov(w_co2),f_nat*cospec(w_h2o)/cov(w_h2o),f_nat*cospec(w_ch4)/cov(w_ch4),f_nat*cospec(w_none)/cov(w_none)
1,0.610352E-03,0.630674E-03,0.116753,0.334761E-01,0.236013E-02,0.104067,0.327150,0.498779,-9999.0,-9999.0,0.520398E-01,0.282998,0.357639E-01,0.121783,0.211413,-9999.0,-9999.0
0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
1,0.122070E-02,0.126135E-02,0.774206E-01,0.273104E-01,0.727700E-02,0.119733E-01,0.223703,0.241122,-9999.0,-9999.0,0.726231E-01,0.362064,0.166108E-01,0.168004,0.300782,-9999.0,-9999.0
0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
1,0.183105E-02,0.189202E-02,0.370299E-01,0.372751E-01,0.243472E-02,0.419823E-01,0.135432,0.123082,-9999.0,-9999.0,0.206711E-01,0.297780,0.385338E-01,0.735705E-01,0.142322,-9999.0,-9999.0
1,0.244141E-02,0.252270E-02,0.465828E-02,0.438777E-01,0.225109E-02,0.180340E-01,0.100471E-01,0.790286E-01,-9999.0,-9999.0,0.698971E-02,0.152930,0.169730E-01,0.207692E-01,0.107096,-9999.0,-9999.0
1,0.305176E-02,0.315337E-02,0.288750,0.963919E-02,0.912999E-02,0.121694,0.133693,0.347148,-9999.0,-9999.0,0.159647,-0.348216,0.105624,0.153126,0.461056,-9999.0,-9999.0
1,0.366211E-02,0.378405E-02,0.135407,0.246071E-01,0.301795E-02,0.682434E-01,0.647219E-01,0.140453,-9999.0,-9999.0,0.608256E-01,0.331747,0.620861E-03,0.110319E-01,0.103410,-9999.0,-9999.0
1,0.427246E-02,0.441472E-02,0.106705E-02,0.753313E-01,0.988113E-02,0.142817E-01,0.696678E-02,0.162897E-02,-9999.0,-9999.0,-0.203092E-02,-0.983951,0.492291E-01,0.319060E-01,0.312529E-01,-9999.0,-9999.0
2,0.518799E-02,0.536073E-02,0.208349,0.642732E-01,0.100087E-01,0.245192E-01,0.164478E-02,0.320139E-01,-9999.0,-9999.0,0.100312,-0.585535,0.608030E-01,0.143961E-01,0.881266E-01,-9999.0,-9999.0
2,0.640869E-02,0.662208E-02,0.156543,0.156495,0.197430E-02,0.632432E-01,0.964056E-01,0.146199,-9999.0,-9999.0,-0.164623E-01,0.186231,-0.169622E-01,0.891086E-02,0.230737E-01,-9999.0,-9999.0
3,0.793457E-02,0.819877E-02,0.973929E-01,0.971282E-01,0.171048E-01,0.341346E-01,0.624173E-01,0.275003E-01,-9999.0,-9999.0,0.811497E-01,-0.557673,0.137159E-01,0.376877E-01,0.470847E-03,-9999.0,-9999.0
3,0.976562E-02,0.100908E-01,0.133699,0.109521,0.363799E-01,0.619470E-01,0.992012E-01,0.621748E-01,-9999.0,-9999.0,0.856697E-01,-0.291632,-0.619043E-01,-0.108983,0.823150E-01,-9999.0,-9999.0
3,0.115967E-01,0.119828E-01,0.111960,0.453983E-01,0.220035E-01,0.659238E-01,0.915180E-01,0.607283E-01,-9999.0,-9999.0,0.111179,-0.716127,0.749766E-01,0.417378E-01,-0.145061E-01,-9999.0,-9999.0
5,0.140381E-01,0.145055E-01,0.263487,0.185044,0.282261E-01,0.586305E-01,0.798903E-01,0.438634E-01,-9999.0,-9999.0,0.117223,1.72590,0.121465,0.126323,0.616905E-01,-9999.0,-9999.0
