 normalised_and_exponentially_binned_(co)spectra
 -----------------------------------------------
natural_frequency_[Hz]_->_from_[1/_averaging_interval]_to_[acquisition_frequency_/_2]
normalized_frequency_[#]_->_natural_frequency_*_measuring_height_/_wind_speed
y-axis_->_natural_frequency_*_(co)spectrum_/_(co)variance
acquisition_frequency_[Hz]_=_ 20.000
measuring_height_(z-d)_[m]_=_  1.740
wind_speed_[m+1s-1]_=_  0.525
averaging_interval_[min]_=_     30
number_of_bins_=_  50
tapering_window_=_hamming
 #_freq,natural_frequency,normalized_frequency,f_nat*spec(u)/var(u),f_nat*spec(v)/var(v),f_nat*spec(w)/var(w),f_nat*spec(ts)/var(ts),f_nat*spec(co2)/var(co2),f_nat*spec(h2o)/var(h2o),f_nat*spec(ch4)/var(ch4),f_nat*spec(none)/var(none),f_nat*cospec(w_u)/cov(w_u),f_nat*cospec(w_v)/cov(w_v),f_nat*cospec(w_ts)/cov(w_ts),f_nat*cospec(w_co2)/cov(w_co2),f_nat*cospec(w_h2o)/cov(w_h2o),f_nat*cospec(w_ch4)/cov(w_ch4),f_nat*cospec(w_none)/cov(w_none)
1,0.610352E-03,0.202279E-02,0.103080,0.267824,0.113804E-01,0.606387E-01,0.803659E-01,0.124246,-9999.0,-9999.0,-0.169943E-01,0.167307,0.583296E-01,-0.635523E-01,0.117477,-9999.0,-9999.0
0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
1,0.122070E-02,0.404558E-02,0.171495,0.122328,0.207037E-01,0.241777E-01,0.163795,0.203877,-9999.0,-9999.0,0.108744,0.377485,0.559406E-01,0.526919E-01,0.221795,-9999.0,-9999.0
0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
1,0.183105E-02,0.606836E-02,0.235107,0.327087E-01,0.180063E-01,0.240698E-02,0.758900E-01,0.330998,-9999.0,-9999.0,0.240611,0.484298,0.173060E-02,0.106039,0.273570,-9999.0,-9999.0
1,0.244141E-02,0.809115E-02,0.244863,0.421763E-01,0.154529E-01,0.204135E-01,0.184487,0.467916,-9999.0,-9999.0,0.262376,0.493054,-0.636002E-02,0.196270,0.325961,-9999.0,-9999.0
1,0.305176E-02,0.101139E-01,0.789296E-01,0.189609,0.107049E-01,0.106139E-01,0.111782,0.144892,-9999.0,-9999.0,-0.103569E-01,0.747805,0.115401E-01,0.643855E-01,-0.549465E-02,-9999.0,-9999.0
1,0.366211E-02,0.121367E-01,0.651792E-01,0.101310,0.243694E-02,0.920703E-02,0.461526E-01,0.101178,-9999.0,-9999.0,0.431434E-01,0.261662,0.908457E-02,-0.385063E-03,0.206559E-01,-9999.0,-9999.0
1,0.427246E-02,0.141595E-01,0.611210,0.653655E-01,0.152022E-01,0.101518,0.724430E-01,0.295497,-9999.0,-9999.0,0.186120,-0.439302,-0.174042E-01,0.497695E-01,0.160080,-9999.0,-9999.0
2,0.518799E-02,0.171937E-01,0.122671,0.847061E-01,0.398782E-01,0.492566E-01,0.808579E-01,0.143252,-9999.0,-9999.0,0.537548E-01,-1.05723,-0.732992E-01,-0.544668E-01,-0.237085E-01,-9999.0,-9999.0
2,0.640869E-02,0.212393E-01,0.692616E-01,0.338204E-01,0.374509E-01,0.181623E-01,0.879600E-01,0.177566,-9999.0,-9999.0,0.149887,0.348614,0.496592E-01,0.986914E-01,0.179322,-9999.0,-9999.0
3,0.793457E-02,0.262962E-01,0.147443,0.166801,0.857118E-01,0.101269,0.127688,0.237771,-9999.0,-9999.0,0.242113,-0.259690,0.144240,0.290915,0.431774,-9999.0,-9999.0
3,0.976562E-02,0.323646E-01,0.586680E-01,0.266515,0.251611E-01,0.683967E-01,0.130297,0.194317,-9999.0,-9999.0,0.139262,-1.29715,-0.321078E-01,-0.431743E-01,-0.888808E-01,-9999.0,-9999.0
3,0.115967E-01,0.384330E-01,0.672066E-01,0.889655E-01,0.105282,0.214312,0.396595,0.506666,-9999.0,-9999.0,-0.207465,-0.133009,0.341632,0.622322,0.756965,-9999.0,-9999.0
5,0.140381E-01,0.465241E-01,0.626251,0.588628E-01,0.281639,0.158046,0.534250E-01,0.108793,-9999.0,-9999.0,1.02727,-1.09455,0.499774,0.369022,0.516523,-9999.0,-9999.0
5,0.170898E-01,0.566381E-01,0.200619,0.271706,0.148479,0.556997E-01,0.603493E-01,0.343531E-01,-9999.0,-9999.0,0.456072,-0.166556,0.109993,0.263438,0.119983,-9999.0,-9999.0
7,0.207520E-01,0.687748E-01,0.304457,0.162217,0.123508,0.773841E-01,0.813718E-01,0.747172E-01,-9999.0,-9999.0,0.400302,-0.502006,0.132254,0.192668,0.182556,-9999.0,-9999.0
8,0.253296E-01,0.839457E-01,0.276287,0.204786,0.315496,0.131396,0.256644,0.255434,-9999.0,-9999.0,0.268099,-2.22945,0.181795,0.784422,0.677298,-9999.0,-9999.0
10,0.308228E-01,0.102151,0.174196,0.192072,0.174796,0.495940E-01,0.118851,0.672328E-01,-9999.0,-9999.0,0.334043,-0.910103E-01,0.616506E-01,0.295292,0.131914,-9999.0,-9999.0
12,0.375366E-01,0.124401,0.124283,0.102174,0.154763,0.733973E-01,0.116747,0.522856E-01,-9999.0,-9999.0,0.232245E-01,-0.225450,0.105166,0.777431E-01,-0.891472E-01,-9999.0,-9999.0
15,0.457764E-01,0.151709,0.193856,0.191830,0.284118,0.190127,0.126861,0.911704E-01,-9999.0,-9999.0,0.264897,-0.268771,0.184337,0.445043,0.291053,-9999.0,-9999.0
18,0.558472E-01,0.185085,0.151762,0.166088,0.321206,0.224695,0.122783,0.685339E-01,-9999.0,-9999.0,0.328307,1.99112,0.334032,0.356012,0.190568,-9999.0,-9999.0
22,0.680542E-01,0.225541,0.126033,0.100050,0.262026,0.165498,0.596095E-01,0.566946E-01,-9999.0,-9999.0,0.326124,0.764502,0.267179,0.202753,0.130641,-9999.0,-9999.0
26,0.827026E-01,0.274088,0.901216E-01,0.141706,0.289299,0.167972,0.107317,0.696211E-01,-9999.0,-9999.0,0.160059,1.40509,0.246377,0.238926,0.145092,-9999.0,-9999.0
32,0.100403,0.332749,0.113149,0.659996E-01,0.187668,0.190083,0.103821,0.749905E-01,-9999.0,-9999.0,0.270211,0.409762,0.996186E-01,0.107670,0.508252E-01,-9999.0,-9999.0
39,0.122070,0.404558,0.801631E-01,0.654786E-01,0.354841,0.165860,0.703469E-01,0.392791E-01,-9999.0,-9999.0,0.385574,0.389598,0.350081,0.335810,0.125833,-9999.0,-9999.0
