 normalised_and_exponentially_binned_(co)spectra
 -----------------------------------------------
natural_frequency_[Hz]_->_from_[1/_averaging_interval]_to_[acquisition_frequency_/_2]
normalized_frequency_[#]_->_natural_frequency_*_measuring_height_/_wind_speed
y-axis_->_natural_frequency_*_(co)spectrum_/_(co)variance
acquisition_frequency_[Hz]_=_ 20.000
measuring_height_(z-d)_[m]_=_  1.740
wind_speed_[m+1s-1]_=_  1.016
averaging_interval_[min]_=_     30
number_of_bins_=_  50
tapering_window_=_hamming
 #_freq,natural_frequency,normalized_frequency,f_nat*spec(u)/var(u),f_nat*spec(v)/var(v),f_nat*spec(w)/var(w),f_nat*spec(ts)/var(ts),f_nat*spec(co2)/var(co2),f_nat*spec(h2o)/var(h2o),f_nat*spec(ch4)/var(ch4),f_nat*spec(none)/var(none),f_nat*cospec(w_u)/cov(w_u),f_nat*cospec(w_v)/cov(w_v),f_nat*cospec(w_ts)/cov(w_ts),f_nat*cospec(w_co2)/cov(w_co2),f_nat*cospec(w_h2o)/cov(w_h2o),f_nat*cospec(w_ch4)/cov(w_ch4),f_nat*cospec(w_none)/cov(w_none)
1,0.610352E-03,0.104552E-02,0.727352E-01,0.127686,0.320099E-02,0.139014E-01,0.629731E-01,0.788015E-01,-9999.0,-9999.0,0.511347E-01,0.279186,-0.269114E-02,-0.400490E-02,-0.364555E-01,-9999.0,-9999.0
0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
1,0.122070E-02,0.209104E-02,0.888588E-01,0.101040,0.564894E-02,0.432312E-02,0.250998E-01,0.162881E-01,-9999.0,-9999.0,-0.145085E-01,0.453471,0.133080E-02,-0.312168E-01,-0.258274E-01,-9999.0,-9999.0
0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
1,0.183105E-02,0.313656E-02,0.118773,0.282953,0.355815E-01,0.275073E-01,0.409353E-01,0.671787E-01,-9999.0,-9999.0,-0.420888E-01,1.51863,0.643581E-01,0.626985E-01,0.816196E-01,-9999.0,-9999.0
1,0.244141E-02,0.418207E-02,0.128035,0.843187,0.625352E-01,0.415195E-01,0.133813,0.230369,-9999.0,-9999.0,-0.374130,0.806332,0.921450E-01,0.157442,0.201690,-9999.0,-9999.0
1,0.305176E-02,0.522759E-02,0.577690E-01,0.654599,0.296321E-02,0.202683E-01,0.315855E-01,0.435419E-01,-9999.0,-9999.0,-0.410421E-01,-0.288078E-01,0.628412E-02,0.253152E-01,0.305733E-01,-9999.0,-9999.0
1,0.366211E-02,0.627311E-02,0.295709E-01,0.498929E-02,0.143526E-01,0.943619E-01,0.137873,0.163131,-9999.0,-9999.0,-0.784313E-01,0.858797E-01,0.181794E-01,0.332298E-01,0.414844E-01,-9999.0,-9999.0
1,0.427246E-02,0.731863E-02,0.291328E-01,0.257034,0.807311E-02,0.280168E-02,0.389946E-01,0.266961E-01,-9999.0,-9999.0,0.441010E-01,0.206689,0.527347E-02,0.122774E-02,0.473021E-02,-9999.0,-9999.0
2,0.518799E-02,0.888691E-02,0.266109E-01,0.164873,0.369644E-02,0.113952,0.506396E-01,0.560255E-01,-9999.0,-9999.0,0.230056E-01,0.234671,0.105923E-01,0.119525E-01,0.113564E-01,-9999.0,-9999.0
2,0.640869E-02,0.109779E-01,0.544169,0.527196E-01,0.268321E-01,0.215758,0.196745,0.224822,-9999.0,-9999.0,0.414078,-0.677105E-01,0.134642,0.535854E-01,0.227775E-01,-9999.0,-9999.0
3,0.793457E-02,0.135917E-01,0.211890,0.822145E-01,0.124169,0.440498,0.298084,0.411353,-9999.0,-9999.0,0.276811E-01,-0.710412,0.469486,0.437035,0.518290,-9999.0,-9999.0
3,0.976562E-02,0.167283E-01,0.257871,0.128864,0.115001,0.336189,0.226610,0.338815,-9999.0,-9999.0,-0.227362,1.65339,0.373833,0.325590,0.454190,-9999.0,-9999.0
3,0.115967E-01,0.198648E-01,0.627433,0.205760,0.318257E-01,0.154951,0.138120,0.177909,-9999.0,-9999.0,-0.187480,-0.307969,0.301947E-01,0.566174E-01,0.968835E-01,-9999.0,-9999.0
5,0.140381E-01,0.240469E-01,0.307925,0.120821,0.205481,0.583267,0.165487,0.298786,-9999.0,-9999.0,0.629646,-0.654530,0.680245,0.414745,0.600327,-9999.0,-9999.0
5,0.170898E-01,0.292745E-01,0.258926,0.108627,0.110928,0.543471,0.289158,0.367450,-9999.0,-9999.0,0.597840,-0.426569,0.359570,0.222381,0.282959,-9999.0,-9999.0
7,0.207520E-01,0.355476E-01,0.151601,0.442903E-01,0.583643E-01,0.162778,0.809396E-01,0.964707E-01,-9999.0,-9999.0,0.119332,0.191743,0.122023,0.142062,0.144999,-9999.0,-9999.0
8,0.253296E-01,0.433890E-01,0.800940E-01,0.891909E-01,0.232934,0.441234,0.372638,0.402073,-9999.0,-9999.0,0.172485,-0.659251,0.325168,0.464485,0.467718,-9999.0,-9999.0
10,0.308228E-01,0.527987E-01,0.981250E-01,0.736433E-01,0.312026,0.250152,0.228636,0.253438,-9999.0,-9999.0,0.534304,0.747441,0.311123,0.332798,0.350834,-9999.0,-9999.0
12,0.375366E-01,0.642994E-01,0.656101E-01,0.855335E-01,0.149388,0.207916,0.216342,0.208180,-9999.0,-9999.0,0.134138,0.265588,0.267163,0.284603,0.284536,-9999.0,-9999.0
15,0.457764E-01,0.784139E-01,0.764522E-01,0.745270E-01,0.101019,0.138362,0.133865,0.129882,-9999.0,-9999.0,0.150569E-01,-0.315251,0.118455,0.140536,0.147027,-9999.0,-9999.0
18,0.558472E-01,0.956649E-01,0.719899E-01,0.138011,0.196458,0.271143,0.224443,0.216210,-9999.0,-9999.0,0.142252,-0.242388,0.209189,0.309297,0.332753,-9999.0,-9999.0
22,0.680542E-01,0.116575,0.109019,0.791999E-01,0.248000,0.384516,0.184453,0.180802,-9999.0,-9999.0,0.381894,-0.503432,0.421541,0.303172,0.347589,-9999.0,-9999.0
26,0.827026E-01,0.141668,0.103729,0.552876E-01,0.261587,0.383453,0.199675,0.179907,-9999.0,-9999.0,0.334448,-0.473973,0.452672,0.336071,0.352366,-9999.0,-9999.0
32,0.100403,0.171988,0.629201E-01,0.509646E-01,0.229568,0.247002,0.163124,0.126447,-9999.0,-9999.0,0.246706,-0.380448,0.318531,0.285176,0.263021,-9999.0,-9999.0
39,0.122070,0.209104,0.541013E-01,0.851135E-01,0.283119,0.255556,0.138543,0.103832,-9999.0,-9999.0,0.106638,0.167494,0.243267,0.236233,0.207647,-9999.0,-9999.0
