 normalised_and_exponentially_binned_(co)spectra
 -----------------------------------------------
natural_frequency_[Hz]_->_from_[1/_averaging_interval]_to_[acquisition_frequency_/_2]
normalized_frequency_[#]_->_natural_frequency_*_measuring_height_/_wind_speed
y-axis_->_natural_frequency_*_(co)spectrum_/_(co)variance
acquisition_frequency_[Hz]_=_ 20.000
measuring_height_(z-d)_[m]_=_  1.740
wind_speed_[m+1s-1]_=_  2.061
averaging_interval_[min]_=_     30
number_of_bins_=_  50
tapering_window_=_hamming
 #_freq,natural_frequency,normalized_frequency,f_nat*spec(u)/var(u),f_nat*spec(v)/var(v),f_nat*spec(w)/var(w),f_nat*spec(ts)/var(ts),f_nat*spec(co2)/var(co2),f_nat*spec(h2o)/var(h2o),f_nat*spec(ch4)/var(ch4),f_nat*spec(none)/var(none),f_nat*cospec(w_u)/cov(w_u),f_nat*cospec(w_v)/cov(w_v),f_nat*cospec(w_ts)/cov(w_ts),f_nat*cospec(w_co2)/cov(w_co2),f_nat*cospec(w_h2o)/cov(w_h2o),f_nat*cospec(w_ch4)/cov(w_ch4),f_nat*cospec(w_none)/cov(w_none)
1,0.610352E-03,0.515291E-03,0.151869,0.141640,0.113533E-02,0.289088,0.307720,0.917683E-01,-9999.0,-9999.0,0.331605E-01,2.31666,0.697505E-02,0.686503E-01,0.506260E-01,-9999.0,-9999.0
0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
1,0.122070E-02,0.103058E-02,0.188591E-01,0.175798E-02,0.576796E-02,0.802124E-01,0.449956E-01,0.203459,-9999.0,-9999.0,0.310506E-01,-0.112232,0.639343E-01,0.296868E-01,0.274562,-9999.0,-9999.0
0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
1,0.183105E-02,0.154587E-02,0.275017E-01,0.108320,0.305125E-02,0.314015E-01,0.645787E-02,0.293118,-9999.0,-9999.0,0.241846E-02,-3.24388,0.324000E-01,-0.207432E-01,0.193194,-9999.0,-9999.0
1,0.244141E-02,0.206116E-02,0.197782E-01,0.586132E-01,0.165278E-01,0.159614E-01,0.136112E-01,0.422931E-01,-9999.0,-9999.0,-0.302749E-01,-5.50249,0.531896E-01,0.696825E-01,0.207271,-9999.0,-9999.0
1,0.305176E-02,0.257645E-02,0.246659,0.711508E-02,0.229037E-01,0.870693E-01,0.765003E-01,0.120568,-9999.0,-9999.0,0.197516,1.49085,0.169887,0.179401,0.320613,-9999.0,-9999.0
1,0.366211E-02,0.309175E-02,0.380646,0.447082E-01,0.359027E-01,0.630114E-01,0.795746E-01,0.164151E-01,-9999.0,-9999.0,0.379275,2.22010,0.190856,0.247603,0.179577,-9999.0,-9999.0
1,0.427246E-02,0.360704E-02,0.279444,0.677694E-01,0.177687E-01,0.309196E-01,0.849985E-01,0.132726,-9999.0,-9999.0,0.195788,3.37415,0.865447E-01,0.166887,0.412109,-9999.0,-9999.0
2,0.518799E-02,0.437997E-02,0.128975,0.215034E-01,0.320106E-01,0.930745E-02,0.103489E-01,0.683630E-01,-9999.0,-9999.0,0.127617,0.168387,0.516271E-01,0.651767E-01,0.279415,-9999.0,-9999.0
2,0.640869E-02,0.541056E-02,0.425561E-01,0.115082E-01,0.144381E-01,0.109607E-01,0.451351E-02,0.608536E-01,-9999.0,-9999.0,-0.803198E-01,1.70687,-0.119367E-01,-0.289586E-01,0.857266E-01,-9999.0,-9999.0
3,0.793457E-02,0.669878E-02,0.519565E-01,0.459759E-01,0.207204E-01,0.507102E-02,0.181743E-01,0.193034E-01,-9999.0,-9999.0,0.608283E-01,0.686987,0.294422E-01,0.784403E-01,0.859947E-01,-9999.0,-9999.0
3,0.976562E-02,0.824466E-02,0.125638,0.106346,0.588726E-01,0.212528E-01,0.397429E-01,0.283431E-01,-9999.0,-9999.0,0.180215,5.55641,0.630517E-01,0.188805,0.219073,-9999.0,-9999.0
3,0.115967E-01,0.979053E-02,0.520941E-01,0.744254E-01,0.474304E-01,0.397200E-01,0.705894E-01,0.310839E-01,-9999.0,-9999.0,0.116468,-5.10791,0.842720E-01,0.163300,0.360495E-01,-9999.0,-9999.0
5,0.140381E-01,0.118517E-01,0.534691E-01,0.772014E-01,0.312350E-01,0.282148E-01,0.229499E-01,0.168837E-01,-9999.0,-9999.0,0.774312E-01,2.81213,0.481981E-01,0.870007E-01,0.485562E-01,-9999.0,-9999.0
5,0.170898E-01,0.144281E-01,0.501169E-01,0.803754E-01,0.529971E-01,0.139687E-01,0.287340E-01,0.119818E-01,-9999.0,-9999.0,0.550710E-01,-10.5169,0.103376,0.172239,0.176673,-9999.0,-9999.0
7,0.207520E-01,0.175199E-01,0.171205,0.205718,0.708053E-01,0.267850E-01,0.490538E-01,0.226316E-01,-9999.0,-9999.0,0.302965,14.4057,0.780247E-01,0.141142,0.292246E-01,-9999.0,-9999.0
8,0.253296E-01,0.213846E-01,0.240602,0.829401E-01,0.406867E-01,0.197498E-01,0.440885E-01,0.149245E-01,-9999.0,-9999.0,0.263135,-3.13040,0.883490E-01,0.137831,0.505414E-01,-9999.0,-9999.0
10,0.308228E-01,0.260222E-01,0.105059,0.629645E-01,0.101505,0.339179E-01,0.478427E-01,0.198534E-01,-9999.0,-9999.0,0.219481,5.86025,0.113894,0.880558E-01,0.704960E-01,-9999.0,-9999.0
12,0.375366E-01,0.316904E-01,0.120184,0.726917E-01,0.990716E-01,0.212395E-01,0.266152E-01,0.121675E-01,-9999.0,-9999.0,0.265270,1.32443,0.920541E-01,0.105928,0.116144E-01,-9999.0,-9999.0
15,0.457764E-01,0.386468E-01,0.915414E-01,0.827580E-01,0.145599,0.444247E-01,0.695483E-01,0.187595E-01,-9999.0,-9999.0,0.241423,-9.74127,0.201876,0.306550,0.188474,-9999.0,-9999.0
18,0.558472E-01,0.471491E-01,0.266228,0.852678E-01,0.179131,0.320656E-01,0.559597E-01,0.850182E-02,-9999.0,-9999.0,0.432406,2.83303,0.121732,0.211871,0.149479,-9999.0,-9999.0
22,0.680542E-01,0.574549E-01,0.226143,0.103120,0.162523,0.469463E-01,0.677305E-01,0.122353E-01,-9999.0,-9999.0,0.374313,-1.69373,0.238654,0.304339,0.247194,-9999.0,-9999.0
26,0.827026E-01,0.698219E-01,0.222550,0.120147,0.193866,0.421821E-01,0.585174E-01,0.975412E-02,-9999.0,-9999.0,0.500261,1.19242,0.208088,0.247636,0.153479,-9999.0,-9999.0
32,0.100403,0.847654E-01,0.167421,0.101271,0.243086,0.303791E-01,0.473062E-01,0.643661E-02,-9999.0,-9999.0,0.458393,-4.28411,0.183575,0.250471,0.146645,-9999.0,-9999.0
39,0.122070,0.103058,0.140599,0.110708,0.194369,0.395214E-01,0.605272E-01,0.543249E-02,-9999.0,-9999.0,0.238844,-6.38637,0.164518,0.240144,0.115710,-9999.0,-9999.0
48,0.148621,0.125473,0.100415,0.163119,0.221050,0.341475E-01,0.463755E-01,0.393760E-02,-9999.0,-9999.0,0.267256,-6.16414,0.206288,0.272945,0.126972,-9999.0,-9999.0
58,0.180969,0.152784,0.776680E-01,0.110982,0.213114,0.267276E-01,0.429233E-01,0.246687E-02,-9999.0,-9999.0,0.119067,-2.70158,0.138066,0.179715,0.707200E-01,-9999.0,-9999.0
70,0.220032,0.185762,0.159647,0.120033,0.158002,0.312137E-01,0.478878E-01,0.239409E-02,-9999.0,-9999.0,0.122715,-5.38806,0.112157,0.151390,0.534807E-01,-9999.0,-9999.0
86,0.267639,0.225955,0.103723,0.152932,0.294982,0.313267E-01,0.486508E-01,0.209518E-02,-9999.0,-9999.0,0.219985,-3.68559,0.204484,0.269845,0.833266E-01,-9999.0,-9999.0
104,0.325623,0.274908,0.830865E-01,0.101365,0.207944,0.200797E-01,0.336355E-01,0.103155E-02,-9999.0,-9999.0,0.113914,-0.803126,0.881925E-01,0.110651,0.256380E-01,-9999.0,-9999.0
127,0.396118,0.334424,0.837586E-01,0.102681,0.231982,0.263441E-01,0.404370E-01,0.101951E-02,-9999.0,-9999.0,0.127485,-2.40549,0.103944,0.125295,0.299099E-01,-9999.0,-9999.0
154,0.481873,0.406822,0.680672E-01,0.922197E-01,0.227641,0.187545E-01,0.303953E-01,0.569664E-03,-9999.0,-9999.0,0.100967,2.40926,0.884518E-01,0.928799E-01,0.234749E-01,-9999.0,-9999.0
188,0.586243,0.494937,0.630105E-01,0.890171E-01,0.274569,0.217465E-01,0.312675E-01,0.368074E-03,-9999.0,-9999.0,0.110340,1.42501,0.874200E-01,0.897421E-01,-0.167849E-02,-9999.0,-9999.0
228,0.713196,0.602118,0.601051E-01,0.694876E-01,0.288928,0.198559E-01,0.308662E-01,0.180497E-03,-9999.0,-9999.0,0.166023,4.30546,0.147920,0.164871,0.429392E-02,-9999.0,-9999.0
