 normalised_and_exponentially_binned_(co)spectra
 -----------------------------------------------
natural_frequency_[Hz]_->_from_[1/_averaging_interval]_to_[acquisition_frequency_/_2]
normalized_frequency_[#]_->_natural_frequency_*_measuring_height_/_wind_speed
y-axis_->_natural_frequency_*_(co)spectrum_/_(co)variance
acquisition_frequency_[Hz]_=_ 20.000
measuring_height_(z-d)_[m]_=_  1.740
wind_speed_[m+1s-1]_=_  2.046
averaging_interval_[min]_=_     30
number_of_bins_=_  50
tapering_window_=_hamming
 #_freq,natural_frequency,normalized_frequency,f_nat*spec(u)/var(u),f_nat*spec(v)/var(v),f_nat*spec(w)/var(w),f_nat*spec(ts)/var(ts),f_nat*spec(co2)/var(co2),f_nat*spec(h2o)/var(h2o),f_nat*spec(ch4)/var(ch4),f_nat*spec(none)/var(none),f_nat*cospec(w_u)/cov(w_u),f_nat*cospec(w_v)/cov(w_v),f_nat*cospec(w_ts)/cov(w_ts),f_nat*cospec(w_co2)/cov(w_co2),f_nat*cospec(w_h2o)/cov(w_h2o),f_nat*cospec(w_ch4)/cov(w_ch4),f_nat*cospec(w_none)/cov(w_none)
1,0.610352E-03,0.519156E-03,0.219333E-02,0.474442E-02,0.706060E-03,0.331389E-01,0.551951E-02,0.166928E-01,-9999.0,-9999.0,0.425591E-02,-0.826395E-02,0.119800E-01,0.479807E-02,0.111273E-01,-9999.0,-9999.0
0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
1,0.122070E-02,0.103831E-02,0.330560E-01,0.111766E-02,0.304739E-03,0.227522E-01,0.751108E-02,0.231062E-02,-9999.0,-9999.0,0.110763E-01,-0.339570E-02,0.630513E-03,0.803413E-03,0.225993E-03,-9999.0,-9999.0
0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
1,0.183105E-02,0.155747E-02,0.131960,0.108125,0.150093E-02,0.678305E-01,0.224889E-01,0.393977E-01,-9999.0,-9999.0,0.316080E-01,0.111813,-0.404565E-02,0.153122E-01,0.938827E-02,-9999.0,-9999.0
1,0.244141E-02,0.207663E-02,0.856556E-01,0.183248E-01,0.506711E-02,0.959788E-01,0.589169E-01,0.931837E-01,-9999.0,-9999.0,0.776771E-02,-0.944558E-01,0.268372E-01,0.248151E-01,0.285524E-01,-9999.0,-9999.0
1,0.305176E-02,0.259578E-02,0.121232,0.460117E-01,0.991333E-02,0.908644E-01,0.101934,0.122978,-9999.0,-9999.0,0.502584E-01,0.697997E-01,-0.540913E-01,-0.706152E-01,-0.104751,-9999.0,-9999.0
1,0.366211E-02,0.311494E-02,0.305918,0.486442E-02,0.208178E-01,0.178673,0.204454,0.215316,-9999.0,-9999.0,0.237253,-0.161948E-01,0.147401,0.176303,0.169286,-9999.0,-9999.0
1,0.427246E-02,0.363409E-02,0.115899,0.109129,0.678712E-01,0.128620,0.391440E-01,0.727398E-01,-9999.0,-9999.0,0.302128,-0.149891,0.227539,0.160040,0.229512,-9999.0,-9999.0
2,0.518799E-02,0.441283E-02,0.532193E-01,0.135467,0.517336E-01,0.308475,0.147780,0.231339,-9999.0,-9999.0,0.174954,-0.938851,0.303105,0.248828,0.333223,-9999.0,-9999.0
2,0.640869E-02,0.545114E-02,0.165705,0.136573,0.445978E-02,0.345642,0.415257,0.541153,-9999.0,-9999.0,0.161106E-01,-0.100008,0.569729E-01,0.661476E-01,0.850666E-01,-9999.0,-9999.0
