 normalised_and_exponentially_binned_(co)spectra
 -----------------------------------------------
natural_frequency_[Hz]_->_from_[1/_averaging_interval]_to_[acquisition_frequency_/_2]
normalized_frequency_[#]_->_natural_frequency_*_measuring_height_/_wind_speed
y-axis_->_natural_frequency_*_(co)spectrum_/_(co)variance
acquisition_frequency_[Hz]_=_ 20.000
measuring_height_(z-d)_[m]_=_  1.740
wind_speed_[m+1s-1]_=_  1.918
averaging_interval_[min]_=_     30
number_of_bins_=_  50
tapering_window_=_hamming
 #_freq,natural_frequency,normalized_frequency,f_nat*spec(u)/var(u),f_nat*spec(v)/var(v),f_nat*spec(w)/var(w),f_nat*spec(ts)/var(ts),f_nat*spec(co2)/var(co2),f_nat*spec(h2o)/var(h2o),f_nat*spec(ch4)/var(ch4),f_nat*spec(none)/var(none),f_nat*cospec(w_u)/cov(w_u),f_nat*cospec(w_v)/cov(w_v),f_nat*cospec(w_ts)/cov(w_ts),f_nat*cospec(w_co2)/cov(w_co2),f_nat*cospec(w_h2o)/cov(w_h2o),f_nat*cospec(w_ch4)/cov(w_ch4),f_nat*cospec(w_none)/cov(w_none)
1,0.610352E-03,0.553595E-03,0.456019E-01,0.283420E-01,0.118204E-02,0.925299E-01,0.163718,0.297343,-9999.0,-9999.0,0.215054E-01,0.242142,0.298223E-01,0.384952E-01,-0.615258E-01,-9999.0,-9999.0
0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
1,0.122070E-02,0.110719E-02,0.378518E-01,0.106092E-01,0.814962E-03,0.270821,0.179221,0.407254E-01,-9999.0,-9999.0,0.240413E-02,-0.984994E-01,0.445708E-01,0.953759E-02,-0.248520E-01,-9999.0,-9999.0
0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
1,0.183105E-02,0.166078E-02,0.710753E-02,0.941134E-03,0.188873E-02,0.261381,0.222826E-01,0.100688E-01,-9999.0,-9999.0,0.983485E-02,0.633719E-01,0.405804E-01,-0.486736E-02,-0.896058E-01,-9999.0,-9999.0
1,0.244141E-02,0.221438E-02,0.175554E-01,0.110798E-01,0.573933E-03,0.130836,0.566483E-01,0.345389E-02,-9999.0,-9999.0,0.732077E-02,0.119820,0.273992E-01,0.190815E-01,-0.266596E-01,-9999.0,-9999.0
1,0.305176E-02,0.276797E-02,0.557674E-02,0.162913E-02,0.312560E-02,0.285487E-02,0.323805E-01,0.153230E-02,-9999.0,-9999.0,0.119333E-01,0.440974E-01,0.617407E-02,0.336650E-01,-0.446772E-01,-9999.0,-9999.0
1,0.366211E-02,0.332157E-02,0.425807E-02,0.110252E-01,0.511440E-03,0.204615E-01,0.130633E-01,0.245380E-01,-9999.0,-9999.0,-0.375603E-03,0.116955,-0.103322E-01,-0.779911E-04,-0.678624E-01,-9999.0,-9999.0
1,0.427246E-02,0.387516E-02,0.238675E-01,0.106059E-01,0.577646E-02,0.390723E-01,0.191661E-01,0.394134E-01,-9999.0,-9999.0,0.286090E-01,0.343248,0.248106E-02,0.767217E-02,-0.325379,-9999.0,-9999.0
2,0.518799E-02,0.470555E-02,0.900291E-01,0.944034E-02,0.167061E-01,0.266639,0.225966E-01,0.598054E-01,-9999.0,-9999.0,0.109819,0.209457,0.184288,0.601691E-01,-0.672447,-9999.0,-9999.0
2,0.640869E-02,0.581274E-02,0.523537E-01,0.250653E-01,0.119765E-01,0.301990E-01,0.263827E-02,0.197791E-01,-9999.0,-9999.0,0.692884E-01,0.948420,0.246500E-01,0.119441E-01,-0.297283,-9999.0,-9999.0
3,0.793457E-02,0.719673E-02,0.122356,0.125674E-01,0.627268E-02,0.138072,0.522023E-01,0.410329E-01,-9999.0,-9999.0,0.777272E-01,0.492121,0.820312E-01,0.552640E-01,-0.313432,-9999.0,-9999.0
