 normalised_and_exponentially_binned_(co)spectra
 -----------------------------------------------
natural_frequency_[Hz]_->_from_[1/_averaging_interval]_to_[acquisition_frequency_/_2]
normalized_frequency_[#]_->_natural_frequency_*_measuring_height_/_wind_speed
y-axis_->_natural_frequency_*_(co)spectrum_/_(co)variance
acquisition_frequency_[Hz]_=_ 20.000
measuring_height_(z-d)_[m]_=_  1.740
wind_speed_[m+1s-1]_=_  1.115
averaging_interval_[min]_=_     30
number_of_bins_=_  50
tapering_window_=_hamming
 #_freq,natural_frequency,normalized_frequency,f_nat*spec(u)/var(u),f_nat*spec(v)/var(v),f_nat*spec(w)/var(w),f_nat*spec(ts)/var(ts),f_nat*spec(co2)/var(co2),f_nat*spec(h2o)/var(h2o),f_nat*spec(ch4)/var(ch4),f_nat*spec(none)/var(none),f_nat*cospec(w_u)/cov(w_u),f_nat*cospec(w_v)/cov(w_v),f_nat*cospec(w_ts)/cov(w_ts),f_nat*cospec(w_co2)/cov(w_co2),f_nat*cospec(w_h2o)/cov(w_h2o),f_nat*cospec(w_ch4)/cov(w_ch4),f_nat*cospec(w_none)/cov(w_none)
1,0.610352E-03,0.952493E-03,0.340470E-01,0.166264,0.429336E-04,0.230335E-01,0.128918,0.342128,-9999.0,-9999.0,0.122568E-02,-0.119071E-01,-0.333363E-02,0.498180E-02,0.130469E-01,-9999.0,-9999.0
0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
1,0.122070E-02,0.190499E-02,0.349643E-01,0.180823E-03,0.791420E-03,0.492116E-02,0.846797E-01,0.147318,-9999.0,-9999.0,-0.172086E-01,0.344135E-02,-0.104615E-01,-0.508449E-02,0.118342,-9999.0,-9999.0
0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
1,0.183105E-02,0.285748E-02,0.775332E-01,0.959848E-02,0.265662E-02,0.501328E-01,0.119702,0.715253E-01,-9999.0,-9999.0,-0.492062E-01,0.306525E-02,0.423107E-02,0.578512E-01,0.556893E-01,-9999.0,-9999.0
1,0.244141E-02,0.380997E-02,0.208528,0.155278E-01,0.595562E-02,0.330062,0.133794,0.275252E-01,-9999.0,-9999.0,-0.135103E-02,-0.850778E-01,0.279344,-0.141039,-0.185057,-9999.0,-9999.0
1,0.305176E-02,0.476246E-02,0.102015E-01,0.115351E-01,0.628634E-02,0.139481,0.408894E-01,0.100638,-9999.0,-9999.0,-0.841806E-02,-0.757222E-01,0.142175,-0.264712E-01,-0.115959,-9999.0,-9999.0
1,0.366211E-02,0.571496E-02,0.146960,0.112340E-01,0.187433E-02,0.422330,0.133529E-01,0.113303E-01,-9999.0,-9999.0,-0.304338E-01,-0.422711E-01,-0.106635,-0.721719E-02,0.878870E-01,-9999.0,-9999.0
1,0.427246E-02,0.666745E-02,0.841906E-01,0.622457E-01,0.585208E-02,0.643404,0.413142E-01,0.624358E-02,-9999.0,-9999.0,-0.677046E-01,0.144088E-01,-0.726334E-02,0.175063E-01,-0.278622E-01,-9999.0,-9999.0
2,0.518799E-02,0.809619E-02,0.127879,0.387260E-01,0.106787E-01,0.633420E-01,0.158169E-01,0.332828E-01,-9999.0,-9999.0,-0.831998E-01,0.167745,-0.636400E-01,0.970070E-02,0.818141E-01,-9999.0,-9999.0
2,0.640869E-02,0.100012E-01,0.205464,0.274914E-01,0.106495E-01,0.390534,0.194277,0.860932E-01,-9999.0,-9999.0,0.408541E-01,0.445905E-01,0.357683,0.207828,0.538510,-9999.0,-9999.0
3,0.793457E-02,0.123824E-01,0.314937,0.525069E-01,0.147976E-01,0.228343,0.388235,0.216154,-9999.0,-9999.0,-0.474355E-02,-0.148049,0.145160,0.289273,0.702049,-9999.0,-9999.0
3,0.976562E-02,0.152399E-01,0.228499,0.720796E-01,0.201029E-01,0.687408E-01,0.179125,0.456998E-01,-9999.0,-9999.0,0.180759,-0.236558E-01,0.635447E-01,0.277445,0.757433E-01,-9999.0,-9999.0
3,0.115967E-01,0.180974E-01,0.201481,0.737470E-01,0.498996E-01,0.202452,0.686286E-01,0.846234E-01,-9999.0,-9999.0,0.258009,-0.990870E-01,0.600334,0.297971,-0.230620,-9999.0,-9999.0
5,0.140381E-01,0.219073E-01,0.104679,0.287468E-01,0.173019E-01,0.167729,0.529075E-01,0.154164E-01,-9999.0,-9999.0,0.110318E-01,0.563960E-01,0.572579E-01,0.636174E-01,0.321124E-01,-9999.0,-9999.0
5,0.170898E-01,0.266698E-01,0.915814E-01,0.284814E-01,0.435073E-01,0.131869,0.136842,0.536146E-01,-9999.0,-9999.0,0.452166E-01,-0.151817,0.157082E-01,0.278871E-01,0.798241E-01,-9999.0,-9999.0
7,0.207520E-01,0.323848E-01,0.213687,0.360454E-01,0.359541E-01,0.223736,0.126769,0.420647E-01,-9999.0,-9999.0,0.103393,0.597694E-01,-0.140227E-01,0.152148,0.290811,-9999.0,-9999.0
8,0.253296E-01,0.395285E-01,0.109168,0.350916E-01,0.758450E-01,0.135205,0.167381,0.349843E-01,-9999.0,-9999.0,0.533713E-01,0.218077,-0.174883E-01,0.149904,0.325178,-9999.0,-9999.0
10,0.308228E-01,0.481009E-01,0.135010,0.511276E-01,0.488439E-01,0.146035,0.133091,0.460963E-01,-9999.0,-9999.0,0.575441E-02,-0.374734E-01,-0.166560,-0.144062,-0.476675,-9999.0,-9999.0
12,0.375366E-01,0.585783E-01,0.148735,0.754115E-01,0.497536E-01,0.138923,0.221777,0.261459E-01,-9999.0,-9999.0,0.209527E-01,-0.367512,-0.166215E-01,0.249089E-01,0.844413E-01,-9999.0,-9999.0
15,0.457764E-01,0.714370E-01,0.819899E-01,0.192142E-01,0.925203E-01,0.842603E-01,0.140101,0.315058E-01,-9999.0,-9999.0,0.170867,0.752077E-01,0.253624,0.248668,0.406143,-9999.0,-9999.0
18,0.558472E-01,0.871531E-01,0.128693,0.541407E-01,0.562206E-01,0.106988,0.151670,0.382613E-01,-9999.0,-9999.0,0.121505,-0.107188,0.937007E-01,0.581392E-01,-0.160738E-01,-9999.0,-9999.0
22,0.680542E-01,0.106203,0.187767,0.488689E-01,0.149536,0.643988E-01,0.939740E-01,0.229818E-01,-9999.0,-9999.0,0.188147,-0.184883,0.200947,0.108765,0.558765E-01,-9999.0,-9999.0
26,0.827026E-01,0.129063,0.146653,0.832435E-01,0.154711,0.974788E-01,0.160358,0.508395E-01,-9999.0,-9999.0,0.500567E-02,0.410257,0.423576E-03,-0.862212E-01,-0.190020,-9999.0,-9999.0
32,0.100403,0.156685,0.983901E-01,0.360143E-01,0.185414,0.557300E-01,0.110911,0.286688E-01,-9999.0,-9999.0,0.288360E-01,0.657395E-02,0.989445E-01,0.939153E-01,0.350512E-01,-9999.0,-9999.0
39,0.122070,0.190499,0.152601,0.563898E-01,0.148555,0.628847E-01,0.121326,0.320064E-01,-9999.0,-9999.0,0.221834,0.140321,0.269122,0.274301,0.295247,-9999.0,-9999.0
48,0.148621,0.231932,0.134479,0.570982E-01,0.225779,0.713139E-01,0.129307,0.360474E-01,-9999.0,-9999.0,0.359458,0.123298,0.338155,0.519484,0.286504,-9999.0,-9999.0
58,0.180969,0.282414,0.201217,0.499236E-01,0.225336,0.879981E-01,0.154937,0.465482E-01,-9999.0,-9999.0,0.366567,-0.378214E-01,0.467443,0.565757,0.792235,-9999.0,-9999.0
70,0.220032,0.343374,0.895795E-01,0.736255E-01,0.167594,0.594107E-01,0.123133,0.362062E-01,-9999.0,-9999.0,0.938840E-01,0.203374,0.138881,0.236475,0.165997,-9999.0,-9999.0
86,0.267639,0.417668,0.117902,0.474220E-01,0.184753,0.761635E-01,0.157029,0.299542E-01,-9999.0,-9999.0,0.187563,-0.684140E-01,0.336833,0.290202,0.177145,-9999.0,-9999.0
104,0.325623,0.508155,0.841156E-01,0.672007E-01,0.180801,0.667379E-01,0.152164,0.339321E-01,-9999.0,-9999.0,0.129662,-0.423711E-02,0.224839,0.238878,0.227986,-9999.0,-9999.0
127,0.396118,0.618168,0.834202E-01,0.488638E-01,0.151479,0.526336E-01,0.119676,0.197110E-01,-9999.0,-9999.0,0.121511,-0.385746E-01,0.218910,0.253239,0.930762E-01,-9999.0,-9999.0
154,0.481873,0.751993,0.774452E-01,0.608338E-01,0.168955,0.436332E-01,0.973530E-01,0.169787E-01,-9999.0,-9999.0,0.142800,0.701756E-02,0.228275,0.256331,0.109073,-9999.0,-9999.0
188,0.586243,0.914869,0.618082E-01,0.621909E-01,0.230154,0.341895E-01,0.840705E-01,0.100917E-01,-9999.0,-9999.0,0.164346,-0.220764,0.214557,0.237119,0.137460,-9999.0,-9999.0
228,0.713196,1.11299,0.566155E-01,0.513037E-01,0.185911,0.321003E-01,0.632345E-01,0.701861E-02,-9999.0,-9999.0,0.107674,0.210925E-01,0.846081E-01,0.108117,0.662496E-01,-9999.0,-9999.0
278,0.867615,1.35397,0.621692E-01,0.647696E-01,0.281826,0.316687E-01,0.753343E-01,0.440988E-02,-9999.0,-9999.0,0.228452,0.578187,0.131888,0.127610,0.617447E-01,-9999.0,-9999.0
337,1.05530,1.64686,0.422179E-01,0.391182E-01,0.146943,0.266810E-01,0.601520E-01,0.273710E-02,-9999.0,-9999.0,0.828153E-01,0.709634E-01,0.840223E-01,0.268932E-01,-0.208385E-01,-9999.0,-9999.0
411,1.28357,2.00309,0.365803E-01,0.443896E-01,0.160461,0.252479E-01,0.554838E-01,0.224886E-02,-9999.0,-9999.0,0.643230E-01,0.109947,0.985858E-01,0.791877E-02,-0.334832E-01,-9999.0,-9999.0
500,1.56158,2.43695,0.355108E-01,0.389341E-01,0.148317,0.194280E-01,0.457678E-01,0.911932E-03,-9999.0,-9999.0,0.833382E-01,0.103181,0.920666E-01,-0.305448E-02,-0.391223E-02,-9999.0,-9999.0
608,1.89972,2.96463,0.480602E-01,0.585167E-01,0.196127,0.156181E-01,0.353248E-01,0.630186E-03,-9999.0,-9999.0,0.188715,0.479523,0.593207E-01,0.316328E-01,-0.219715E-01,-9999.0,-9999.0
740,2.31110,3.60661,0.313406E-01,0.393565E-01,0.132430,0.139707E-01,0.359664E-01,0.376131E-03,-9999.0,-9999.0,0.688842E-01,0.183785,0.633464E-01,-0.135507E-01,-0.350464E-02,-9999.0,-9999.0
899,2.81128,4.38718,0.331902E-01,0.515326E-01,0.163723,0.982616E-02,0.251308E-01,0.383185E-03,-9999.0,-9999.0,0.132638,0.450430,0.527570E-01,-0.872044E-02,-0.712776E-02,-9999.0,-9999.0
1095,3.41980,5.33682,0.337224E-01,0.528330E-01,0.153532,0.855789E-02,0.184568E-01,0.403572E-03,-9999.0,-9999.0,0.123669,0.446004,0.316032E-01,0.363411E-02,0.753344E-02,-9999.0,-9999.0
1331,4.16016,6.49219,0.284056E-01,0.453515E-01,0.130512,0.637969E-02,0.124766E-01,0.445843E-03,-9999.0,-9999.0,0.106202,0.342294,0.292105E-01,0.591779E-02,-0.554695E-03,-9999.0,-9999.0
1620,5.06073,7.89759,0.413734E-01,0.721757E-01,0.199427,0.462783E-02,0.909195E-02,0.510247E-03,-9999.0,-9999.0,0.203987,0.764238,0.158327E-01,0.125312E-02,0.453812E-02,-9999.0,-9999.0
1970,6.15631,9.60732,0.443999E-01,0.789155E-01,0.208968,0.368291E-02,0.498029E-02,0.632249E-03,-9999.0,-9999.0,0.202990,0.828342,0.396164E-01,0.847027E-02,-0.874456E-02,-9999.0,-9999.0
2397,7.48901,11.6871,0.500172E-01,0.810786E-01,0.215678,0.262024E-02,0.255806E-02,0.832811E-03,-9999.0,-9999.0,0.256667,0.865853,0.195658E-01,-0.465047E-03,0.789697E-02,-9999.0,-9999.0
2916,9.11041,14.2174,0.552502E-01,0.978403E-01,0.257712,0.217451E-02,0.137505E-02,0.967387E-03,-9999.0,-9999.0,0.280591,1.09473,0.133279E-01,0.365301E-03,0.761444E-02,-9999.0,-9999.0
