 normalised_and_exponentially_binned_(co)spectra
 -----------------------------------------------
natural_frequency_[Hz]_->_from_[1/_averaging_interval]_to_[acquisition_frequency_/_2]
normalized_frequency_[#]_->_natural_frequency_*_measuring_height_/_wind_speed
y-axis_->_natural_frequency_*_(co)spectrum_/_(co)variance
acquisition_frequency_[Hz]_=_ 20.000
measuring_height_(z-d)_[m]_=_  1.740
wind_speed_[m+1s-1]_=_  1.737
averaging_interval_[min]_=_     30
number_of_bins_=_  50
tapering_window_=_hamming
 #_freq,natural_frequency,normalized_frequency,f_nat*spec(u)/var(u),f_nat*spec(v)/var(v),f_nat*spec(w)/var(w),f_nat*spec(ts)/var(ts),f_nat*spec(co2)/var(co2),f_nat*spec(h2o)/var(h2o),f_nat*spec(ch4)/var(ch4),f_nat*spec(none)/var(none),f_nat*cospec(w_u)/cov(w_u),f_nat*cospec(w_v)/cov(w_v),f_nat*cospec(w_ts)/cov(w_ts),f_nat*cospec(w_co2)/cov(w_co2),f_nat*cospec(w_h2o)/cov(w_h2o),f_nat*cospec(w_ch4)/cov(w_ch4),f_nat*cospec(w_none)/cov(w_none)
1,0.610352E-03,0.611298E-03,0.624043E-01,0.270728E-01,0.112484E-02,0.558568E-01,0.737918E-01,0.251897,-9999.0,-9999.0,0.253403E-01,0.270486E-01,0.541491E-01,0.429523E-01,0.244572,-9999.0,-9999.0
0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
1,0.122070E-02,0.122260E-02,0.549829E-01,0.317333E-01,0.164279E-01,0.233934E-01,0.549365E-01,0.111803,-9999.0,-9999.0,0.100062,0.249742,0.105487,0.141546,0.644524,-9999.0,-9999.0
0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
1,0.183105E-02,0.183389E-02,0.821915E-01,0.773724E-01,0.178159E-01,0.193709E-01,0.794033E-01,0.448822E-01,-9999.0,-9999.0,0.155603,0.111256,0.338955,0.165933,0.401042,-9999.0,-9999.0
1,0.244141E-02,0.244519E-02,0.103943E-01,0.892816E-01,0.115784E-01,0.252352E-01,0.332552E-01,0.313855E-04,-9999.0,-9999.0,0.167239E-02,0.365824,0.311448,0.527073E-02,0.756109E-02,-9999.0,-9999.0
1,0.305176E-02,0.305649E-02,0.804486E-01,0.818921E-01,0.308537E-01,0.186314,0.270783E-01,0.859498E-01,-9999.0,-9999.0,0.204454,0.477395,1.24723,0.136016,0.726979,-9999.0,-9999.0
1,0.366211E-02,0.366779E-02,0.119261,0.796966E-01,0.480345E-02,0.342265E-01,0.211925,0.246652,-9999.0,-9999.0,0.712054E-01,0.198347,0.234867,0.431898E-01,0.148958,-9999.0,-9999.0
1,0.427246E-02,0.427909E-02,0.244558E-03,0.315676E-01,0.705939E-03,0.969113E-01,0.329509E-01,0.132438E-01,-9999.0,-9999.0,-0.895513E-03,0.454101E-01,-0.128207E-01,0.625306E-02,-0.263378E-01,-9999.0,-9999.0
2,0.518799E-02,0.519603E-02,0.709465E-01,0.908796E-01,0.363519E-01,0.176993,0.227331E-01,0.918177E-02,-9999.0,-9999.0,0.135832,0.543515,0.422270,0.352774E-01,0.253788,-9999.0,-9999.0
2,0.640869E-02,0.641863E-02,0.376721,0.189251,0.258312E-01,0.443507,0.177176,0.142375,-9999.0,-9999.0,0.306770,-0.718537,1.62168,0.209829,0.651245,-9999.0,-9999.0
3,0.793457E-02,0.794688E-02,0.365974,0.155918,0.496596E-01,0.502474,0.219680,0.203103,-9999.0,-9999.0,0.263169,-0.262134E-02,2.21819,0.322993,1.04600,-9999.0,-9999.0
3,0.976562E-02,0.978077E-02,0.156409,0.165041,0.273816E-01,0.461335,0.836511E-01,0.655072E-01,-9999.0,-9999.0,0.189568,0.391690,-0.845324,0.194027,0.527570,-9999.0,-9999.0
3,0.115967E-01,0.116147E-01,0.613894E-01,0.163015,0.137469,0.291356,0.751086E-01,0.586616E-01,-9999.0,-9999.0,0.138817,1.32544,-0.415878,-0.910128E-01,-0.263292,-9999.0,-9999.0
5,0.140381E-01,0.140599E-01,0.245126,0.187638,0.793670E-01,0.574227,0.855448E-01,0.629008E-01,-9999.0,-9999.0,0.303835,0.419200,-0.114182,-0.342387E-01,-0.189488,-9999.0,-9999.0
5,0.170898E-01,0.171163E-01,0.306184,0.143921,0.393592E-01,0.394928,0.723763E-01,0.263235E-01,-9999.0,-9999.0,0.154787,-0.695588E-01,0.708820E-01,-0.118500E-01,-0.559900E-01,-9999.0,-9999.0
7,0.207520E-01,0.207841E-01,0.134564,0.899010,0.345455E-01,0.263820,0.181525,0.854306E-01,-9999.0,-9999.0,0.980336E-01,-0.234906,-0.309560,-0.293509E-01,-0.135839,-9999.0,-9999.0
8,0.253296E-01,0.253689E-01,0.278402,0.302395,0.934651E-01,0.160506,0.188428,0.876096E-01,-9999.0,-9999.0,0.480828,0.458913E-01,-0.779240,0.349847,0.613509,-9999.0,-9999.0
10,0.308228E-01,0.308706E-01,0.216626,0.265440,0.126250,0.698535E-01,0.133350,0.409960E-01,-9999.0,-9999.0,0.337258,0.152124,-0.602609,0.152867,0.248868E-01,-9999.0,-9999.0
12,0.375366E-01,0.375948E-01,0.271758,0.271865,0.125243,0.892738E-01,0.304389,0.822945E-01,-9999.0,-9999.0,0.925089E-01,0.304030,0.205069,0.340581,0.436454,-9999.0,-9999.0
15,0.457764E-01,0.458474E-01,0.254345,0.169336,0.215164,0.120940,0.145629,0.318685E-01,-9999.0,-9999.0,0.220498,1.64911,0.608109,0.441800,0.662531,-9999.0,-9999.0
18,0.558472E-01,0.559338E-01,0.259912,0.195349,0.157148,0.846146E-01,0.181861,0.349425E-01,-9999.0,-9999.0,0.314528,0.297372,-0.493718,0.363294,0.379938,-9999.0,-9999.0
22,0.680542E-01,0.681597E-01,0.135030,0.127806,0.178461,0.349271E-01,0.926861E-01,0.185781E-01,-9999.0,-9999.0,0.155996,-0.291865,-0.238601,0.208489,0.157379,-9999.0,-9999.0
26,0.827026E-01,0.828309E-01,0.132917,0.897514E-01,0.340034,0.491141E-01,0.123189,0.172835E-01,-9999.0,-9999.0,0.265958,0.506568E-01,-0.348255,0.294579,0.247113,-9999.0,-9999.0
32,0.100403,0.100559,0.181436,0.148563,0.102482,0.390543E-01,0.108151,0.111853E-01,-9999.0,-9999.0,0.133110,-0.130565,0.112839,-0.177877E-01,-0.361512E-01,-9999.0,-9999.0
39,0.122070,0.122260,0.104155,0.149253,0.287098,0.460329E-01,0.132345,0.123807E-01,-9999.0,-9999.0,0.284744,0.136330E-01,0.291553,0.518092,0.499874,-9999.0,-9999.0
48,0.148621,0.148851,0.138167,0.109184,0.316151,0.400346E-01,0.999410E-01,0.950455E-02,-9999.0,-9999.0,0.307980,0.351360,0.252982,0.425663,0.300291,-9999.0,-9999.0
58,0.180969,0.181250,0.113629,0.113556,0.214588,0.306411E-01,0.932180E-01,0.857378E-02,-9999.0,-9999.0,0.168560,-0.189002,-0.206010,0.309113,0.270419,-9999.0,-9999.0
70,0.220032,0.220373,0.976197E-01,0.116701,0.248217,0.245050E-01,0.649930E-01,0.454673E-02,-9999.0,-9999.0,0.275986,-0.932930E-01,0.149935,0.238478,0.104923,-9999.0,-9999.0
86,0.267639,0.268054,0.770421E-01,0.110540,0.227046,0.138741E-01,0.562794E-01,0.314870E-02,-9999.0,-9999.0,0.107924,0.284424,-0.713830E-01,0.170159,0.154790E-01,-9999.0,-9999.0
104,0.325623,0.326128,0.901241E-01,0.943192E-01,0.270029,0.186056E-01,0.603156E-01,0.317662E-02,-9999.0,-9999.0,0.118617,0.510121,-0.744513E-01,0.287519,0.393852E-01,-9999.0,-9999.0
127,0.396118,0.396733,0.647167E-01,0.889504E-01,0.190981,0.120811E-01,0.766075E-01,0.284712E-02,-9999.0,-9999.0,0.850284E-01,0.200146,0.747453E-01,0.204827,-0.156988E-02,-9999.0,-9999.0
154,0.481873,0.482620,0.457110E-01,0.808314E-01,0.188080,0.116583E-01,0.571765E-01,0.164879E-02,-9999.0,-9999.0,0.506934E-01,0.865604E-01,-0.141514E-01,0.165233,-0.231993E-01,-9999.0,-9999.0
188,0.586243,0.587152,0.626119E-01,0.756189E-01,0.175515,0.982505E-02,0.434350E-01,0.122992E-02,-9999.0,-9999.0,0.509654E-01,-0.324686E-01,0.368167E-01,0.952869E-01,-0.162870E-01,-9999.0,-9999.0
228,0.713196,0.714302,0.467279E-01,0.661986E-01,0.200061,0.799521E-02,0.462888E-01,0.102202E-02,-9999.0,-9999.0,0.854913E-01,0.660831E-01,0.469326E-01,0.129191,-0.180800E-01,-9999.0,-9999.0
278,0.867615,0.868960,0.543819E-01,0.499450E-01,0.191630,0.737486E-02,0.290058E-01,0.574089E-03,-9999.0,-9999.0,0.112521,-0.257007E-02,0.295819E-01,0.572536E-01,0.764408E-02,-9999.0,-9999.0
337,1.05530,1.05693,0.367599E-01,0.579282E-01,0.186360,0.613753E-02,0.301359E-01,0.422136E-03,-9999.0,-9999.0,0.623944E-01,0.670667E-01,0.163594E-01,0.546562E-01,0.260456E-02,-9999.0,-9999.0
411,1.28357,1.28556,0.389316E-01,0.584710E-01,0.171504,0.482287E-02,0.274754E-01,0.517711E-03,-9999.0,-9999.0,0.524488E-01,0.123944E-01,-0.400880E-02,0.450196E-01,0.246868E-03,-9999.0,-9999.0
500,1.56158,1.56401,0.298753E-01,0.494798E-01,0.143491,0.417675E-02,0.188534E-01,0.220820E-03,-9999.0,-9999.0,0.564886E-01,-0.156300E-01,0.166870E-01,0.507563E-01,0.388914E-02,-9999.0,-9999.0
608,1.89972,1.90267,0.302914E-01,0.402860E-01,0.165260,0.333215E-02,0.161545E-01,0.200789E-03,-9999.0,-9999.0,0.416179E-01,-0.900313E-01,0.141816E-01,0.142069E-01,-0.882250E-03,-9999.0,-9999.0
740,2.31110,2.31468,0.250840E-01,0.368688E-01,0.113957,0.294375E-02,0.132596E-01,0.121216E-03,-9999.0,-9999.0,0.281244E-01,-0.278422E-01,0.134471E-01,0.112954E-01,0.410944E-02,-9999.0,-9999.0
899,2.81128,2.81564,0.235277E-01,0.319807E-01,0.114989,0.251231E-02,0.995177E-02,0.126649E-03,-9999.0,-9999.0,0.259835E-01,0.160385E-01,0.303225E-01,0.216748E-02,0.288235E-02,-9999.0,-9999.0
1095,3.41980,3.42510,0.218565E-01,0.265031E-01,0.989699E-01,0.200965E-02,0.793839E-02,0.140646E-03,-9999.0,-9999.0,0.323474E-01,0.122312E-01,0.892683E-02,0.142762E-02,0.126243E-02,-9999.0,-9999.0
1331,4.16016,4.16661,0.203306E-01,0.237771E-01,0.770001E-01,0.165992E-02,0.607959E-02,0.165300E-03,-9999.0,-9999.0,0.284614E-01,0.211580E-01,0.109053E-03,0.137355E-02,0.185194E-02,-9999.0,-9999.0
1620,5.06073,5.06858,0.218989E-01,0.209084E-01,0.760398E-01,0.130589E-02,0.448713E-02,0.185504E-03,-9999.0,-9999.0,0.582237E-01,-0.744750E-03,0.663735E-02,0.724156E-02,-0.177457E-02,-9999.0,-9999.0
1970,6.15631,6.16586,0.220776E-01,0.196941E-01,0.711519E-01,0.125520E-02,0.303183E-02,0.235510E-03,-9999.0,-9999.0,0.597717E-01,0.321701E-01,0.388638E-02,0.121552E-02,0.141945E-02,-9999.0,-9999.0
2397,7.48901,7.50063,0.229929E-01,0.184964E-01,0.604027E-01,0.108803E-02,0.242153E-02,0.288342E-03,-9999.0,-9999.0,0.648611E-01,0.203182E-01,0.512536E-02,0.455104E-03,0.398418E-03,-9999.0,-9999.0
2916,9.11041,9.12454,0.240749E-01,0.185773E-01,0.602705E-01,0.112988E-02,0.252249E-02,0.347339E-03,-9999.0,-9999.0,0.746745E-01,0.679617E-03,0.502648E-02,0.173436E-02,0.267323E-02,-9999.0,-9999.0
