 normalised_and_exponentially_binned_(co)spectra
 -----------------------------------------------
natural_frequency_[Hz]_->_from_[1/_averaging_interval]_to_[acquisition_frequency_/_2]
normalized_frequency_[#]_->_natural_frequency_*_measuring_height_/_wind_speed
y-axis_->_natural_frequency_*_(co)spectrum_/_(co)variance
acquisition_frequency_[Hz]_=_ 20.000
measuring_height_(z-d)_[m]_=_  1.740
wind_speed_[m+1s-1]_=_  1.893
averaging_interval_[min]_=_     30
number_of_bins_=_  50
tapering_window_=_hamming
 #_freq,natural_frequency,normalized_frequency,f_nat*spec(u)/var(u),f_nat*spec(v)/var(v),f_nat*spec(w)/var(w),f_nat*spec(ts)/var(ts),f_nat*spec(co2)/var(co2),f_nat*spec(h2o)/var(h2o),f_nat*spec(ch4)/var(ch4),f_nat*spec(none)/var(none),f_nat*cospec(w_u)/cov(w_u),f_nat*cospec(w_v)/cov(w_v),f_nat*cospec(w_ts)/cov(w_ts),f_nat*cospec(w_co2)/cov(w_co2),f_nat*cospec(w_h2o)/cov(w_h2o),f_nat*cospec(w_ch4)/cov(w_ch4),f_nat*cospec(w_none)/cov(w_none)
1,0.610352E-03,0.561057E-03,0.173830E-01,0.668576E-02,0.296897E-02,0.862095E-01,0.415142,0.457872E-02,-9999.0,-9999.0,0.225738E-01,-0.184984E-01,0.477852E-02,0.613127,0.174627E-01,-9999.0,-9999.0
0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
1,0.122070E-02,0.112211E-02,0.286134E-02,0.829958E-02,0.598843E-02,0.139915,0.491168E-01,0.791475E-01,-9999.0,-9999.0,0.135928E-01,-0.759679E-01,-0.200694E-02,0.244004,-0.938077E-01,-9999.0,-9999.0
0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
1,0.183105E-02,0.168317E-02,0.134970E-01,0.109430E-01,0.798282E-02,0.242154,0.745710E-02,0.911202E-01,-9999.0,-9999.0,0.255954E-01,0.106966,0.900539E-01,0.331848E-01,0.126724,-9999.0,-9999.0
1,0.244141E-02,0.224423E-02,0.209063,0.346468E-02,0.340236E-01,0.233921E-01,0.103896E-01,0.253240,-9999.0,-9999.0,0.280207,-0.155391,0.131753,-0.330485,0.425677,-9999.0,-9999.0
1,0.305176E-02,0.280529E-02,0.260304,0.101133,0.399602E-01,0.128153E-01,0.538220E-02,0.322373,-9999.0,-9999.0,0.293848,-0.658698,-0.819576E-01,-0.214670,0.480586,-9999.0,-9999.0
1,0.366211E-02,0.336634E-02,0.717743E-02,0.114150,0.197381E-01,0.895449E-02,0.129443E-02,0.926584E-01,-9999.0,-9999.0,0.343593E-01,-0.276880,0.892188E-03,-0.668062E-01,0.182228,-9999.0,-9999.0
1,0.427246E-02,0.392740E-02,0.208584E-01,0.321452E-01,0.146434E-01,0.458681E-01,0.626924E-02,0.958445E-01,-9999.0,-9999.0,0.471160E-01,-0.162616,-0.383509E-01,0.166497,0.114430,-9999.0,-9999.0
2,0.518799E-02,0.476899E-02,0.131053,0.780655E-01,0.476294E-02,0.186758E-01,0.229614E-02,0.117726,-9999.0,-9999.0,-0.218422E-01,-0.650319E-01,0.215537E-01,0.210608E-01,-0.510181E-02,-9999.0,-9999.0
